Name,Symbol,Website,Description,Sector,Industry,Beta,Dividend Rate,Earnings Growth,Revenue Growth,Shares OutStanding,EPS (trailing),Market Cap,52 Week Low,52 Week High,PEG ratio,Latest date_only,Latest Close,Latest Volume,Latest Close_ema_12,Latest Close_ema_26,Latest macd,Latest macd_ema_9,P/E ratio,Close_change_1d,Volume_change_1d,macd_change_1d,macd_ema_9_change_1d,Close_change_5d,Volume_change_5d,macd_change_5d,macd_ema_9_change_5d,Close_change_1m,Volume_change_1m,macd_change_1m,macd_ema_9_change_1m,Close_change_3m,Volume_change_3m,macd_change_3m,macd_ema_9_change_3m,Close_change_6m,Volume_change_6m,macd_change_6m,macd_ema_9_change_6m,Close_change_1y,Volume_change_1y,macd_change_1y,macd_ema_9_change_1y,PE 40th Percentile,PE Median,PE 60th Percentile,created_on
20 Microns Limited,20MICRONS.NS,https://www.20microns.com,"20 Microns Limited engages in the industrial micronized minerals and specialty chemicals businesses in India. The company offers industrial minerals, such as ground calcium carbonate, dolomite, hydrous and calcined kaolins, talcs, natural barytes, silica/quartz, muscovite mica, feldspar/nepheline syenite, diatomaceous and siliceoaus earth, bentonite and attapulgite, and natural and synthetic red oxide. It also provides functional additives and specialties, including white/buff and colored, rutile TiO2, white pigment opacifiers, synthetic barium sulphate, micronized wax, anti-blocking additives, rheological additives, matting agents, inorganic thickeners, flame retardants, calcium oxide desiccant, activators for rubber, high aspect ratio talc, sub-micron CaCO3, and decorative colored quartz sand; erueca mide, olea mide, and processing aids; and fumed, precipitated, and amorphous silica. The company serves paints and coatings, inks and pigments, plastics and polymer, paper, rubber, cosmetics, ceramics, adhesive and sealant, oil-well drilling, agrochemicals, foundry, and other industries. It also exports its products. The company was incorporated in 1987 and is headquartered in Vadodara, India.",Basic Materials,Other Industrial Metals & Mining,0.50848,Not Found,-0.123,0.005,35286500,11.85,3338184192,63.05,119.7,Not Found,2023-07-10,93.44999694824219,51033,94.03053439194704,93.64246217649784,0.3880722154491991,1.1045451338871588,7.8861,0.81,33.55,-0.09015504423133791,-0.17911822960948998,-0.59,-72.22,-0.7975174742884121,-1.0443495407884165,-3.31,-85.94,-3.1099810807018287,-2.1374028825336184,15.58,-40.77,-1.094387145833906,1.653115570117266,3.15,-48.97,1.1404850317244808,1.9836423648079882,28.37,-52.4,1.6828447476326147,3.410967785706494,8.191600000000001,9.4136,12.52288,2023-07-12 19:18:48.342118
Rajdarshan Industries Limited,ARENTERP.NS,https://www.rajdarshanindustrieslimited.com,"Rajdarshan Industries Limited engages in trading of quartz grit and powder, and consumables used in production of quartz stone in India. It also trades in minerals. The company was formerly known as A.R. Enterprises Limited and changed its name to Rajdarshan Industries Limited. Rajdarshan Industries Limited was incorporated in 1980 and is based in Udaipur, India.",Basic Materials,Other Industrial Metals & Mining,0.373473,Not Found,-0.232,0.004,3108300,0.94,107858016,26.45,64.35,Not Found,2023-07-10,34.349998474121094,626,35.769125316664315,36.10201897944042,-0.3328936627761081,0.06827539836663074,36.5426,-0.43,807.25,-0.11786142185503934,-0.10029226528568469,-5.37,-7.81,-0.44720889658426444,-0.4660311204422948,-19.08,-94.81,-2.7417927915163602,-1.333535152467955,14.12,-94.82,1.131107499666502,1.5587472599896088,-13.91,-82.1,-0.6659491238328599,-0.7454292332906278,-2.69,-83.84,0.18346058164338785,1.1837270825169153,8.191600000000001,9.4136,12.52288,2023-07-12 19:18:48.342118
Ashapura Minechem Limited,ASHAPURMIN.NS,https://www.ashapura.com,"Ashapura Minechem Limited is involved in the mining, manufacturing, and trading of various minerals and its derivative products in India and internationally. The company offers bentonite mining, processing, and logistics services to aluminum, foundry, cosmetics, metal ore palletization, construction, and paper industries; refractory materials for abrasives, refractories, foundries, grinding, and road surfacing applications; and hydrocarbon exploration solutions to oil well drilling and hydraulic fracturing industries. It also provides adsorbent solutions for use in various applications, including bleaching edible oils, petroleum refining, water purification, pet care, and bleaching waste oils; and products for waterproofing, repair and restoration, admixtures, grouts, and floor hardeners. In addition, the company offers white mineral solutions for use in paper, paint, rubber, pesticide, cosmetic, pharmaceutical, ceramic, glass, plastic, and building products; and clay products for use in paints, sealants, plasters, polymers, coating and pharmaceutical applications, and aviation fuel enhancers. It also exports its products. The company was founded in 1960 and is based in Mumbai, India.",Basic Materials,Other Industrial Metals & Mining,0.79274,0.5,2.36,1.102,91486096,12.79,10905142272,70.8,158.0,Not Found,2023-07-10,120.4000015258789,136176,125.83692969068021,128.4437025168898,-2.6067728262095926,-1.7449384912996635,9.4136,-1.03,-20.69,-0.34503631431935844,-0.21545858372748228,-3.53,-22.34,-1.5561587500648528,-0.7312657109793015,-2.39,-72.49,2.1282951875313216,0.45212556093175893,-6.49,-73.1,-7.357707742962859,-4.438720600045748,29.39,66.48,-4.590200147218624,-3.01100356936634,6.88,-66.99,-2.3020621944083643,0.6914993611402238,8.191600000000001,9.4136,12.52288,2023-07-12 19:18:48.342118
Hindustan Zinc Limited,HINDZINC.NS,https://www.hzlindia.com,"Hindustan Zinc Limited explores for, extracts, and processes minerals in India, Asia, and internationally. It operates through two segments, Zinc, Lead, Silver & Others; and Wind Energy. The company produces refined zinc and lead, and silver, as well as sulphuric acid; and manufactures metals and related alloys. It also operates thermal captive power plants with a total power generation capacity of 505.5 megawatts; wind power plants with a capacity of 273.5 megawatts; solar power plants with a capacity of 40.42 megawatts; and waste heat power plants with a capacity of 40.67megawatts. The company was incorporated in 1966 and is headquartered in Udaipur, India. Hindustan Zinc Limited operates as a subsidiary of Vedanta Limited.",Basic Materials,Other Industrial Metals & Mining,0.709633,82.5,-0.118,-0.061,4225319936,24.65,1419058216960,260.3,383.0,Not Found,2023-07-10,327.8500061035156,2648867,318.51977535653737,313.2309802627011,5.2887950938362565,2.0267963420011315,13.3002,-3.74,-21.88,0.5268835230945115,0.8154996879587812,5.91,704.98,5.319935138865048,2.696500235204132,9.08,210.13,7.60735723969151,4.088414643939704,4.81,215.64,7.665975831662138,4.720875662205879,-3.2,394.95,-1.1898837913093416,-3.464029621649929,20.8,247.8,12.996191208669075,13.110070886468268,8.191600000000001,9.4136,12.52288,2023-07-12 19:18:48.342118
Impex Ferro Tech Limited,IMPEXFERRO.NS,https://www.impexferrotech.com,"Impex Ferro Tech Limited manufactures and sells ferro alloys in India and internationally. The company's ferro alloy products include silico manganese, high carbon ferro manganese, and medium carbon ferro manganese for use in making various types of carbon and alloy steels, as well as in the deoxidation, desulphurization, and refining of steel. It also trades in iron and steel products. Impex Ferro Tech Limited was incorporated in 1995 and is based in Kolkata, India.",Basic Materials,Other Industrial Metals & Mining,0.386024,Not Found,Not Found,-0.97,87931600,-3.82,262915440,1.95,7.55,Not Found,2023-07-10,2.9000000953674316,96719,2.987544905938076,3.036634054011538,-0.04908914807346232,-0.03222986419219646,-0.7592,-3.33,82.38,-0.004986521594042781,-0.004214820970316467,-3.33,234.21,-0.02004241287150288,-0.024274218049166518,-4.92,272.07,-0.060123458907081595,-0.06822419768676086,1.75,546.82,0.039892960058832916,0.16073977351843452,-26.58,29.64,0.16109867839166014,0.14333699101834657,-54.33,-36.38,0.9328696726899022,0.5039260506085942,8.191600000000001,9.4136,12.52288,2023-07-12 19:18:48.342118
MOIL Limited,MOIL.NS,https://www.moil.nic.in,"MOIL Limited engages in the exploration, development, and marketing of various grades of manganese ores in India. It operates through three segments: Mining, Manufacturing, and Power Generation. The company manufactures and sells various grades of manganese ores, such as high-grade ores for the production of ferro manganese; medium grade ores for the production of silico manganese; blast furnace grade ores for producing hot metals; and dioxide for dry battery cells and chemical industries. It also offers electrolytic manganese dioxide and high carbon ferro manganese. In addition, the company operates wind energy farms with an installed capacity of 4.8 MW at Nagda Hills and 15.2 MW at Ratedi Hills in Dewas district of Madhya Pradesh. It operates 11 mines located in Maharashtra and Madhya Pradesh. The company was formerly known as Manganese Ore (India) Limited. and changed its name to MOIL Limited in 2010. MOIL Limited was founded in 1896 and is headquartered in Nagpur, India.",Basic Materials,Other Industrial Metals & Mining,0.547489,6.0,-0.328,-0.085,203484992,12.31,39181037568,140.75,196.7,3.0,2023-07-10,190.0,2104796,173.08581722719333,167.3093272198167,5.776490007376623,3.3451033370791743,15.4346,5.97,160.18,1.2600521362774657,0.6078466675743623,15.36,171.77,4.261499025046987,1.7499412335187188,20.1,2913.78,4.724761970344986,2.241082973480797,28.51,3618.52,8.16604683041416,6.085532466915988,12.79,332.06,4.071624214063576,2.1355373151404824,29.08,2265.02,8.520930416302235,7.519051827537035,8.191600000000001,9.4136,12.52288,2023-07-12 19:18:48.342118
The Orissa Minerals Development Company Limited,ORISSAMINE.NS,https://www.birdgroup.co.in/omdc,"The Orissa Minerals Development Company Limited mines and markets iron ore and manganese ore in India. It also produces and sells sponge iron. The Orissa Minerals Development Company Limited was incorporated in 1918 and is headquartered in Bhubaneswar, India. The Orissa Minerals Development Company Limited is a subsidiary of Eastern Investments Limited.",Basic Materials,Other Industrial Metals & Mining,1.020691,Not Found,Not Found,-0.224,6000000,-46.42,24964200448,2295.0,4226.6,Not Found,2023-07-10,3933.949951171875,139272,3545.1676338571847,3258.6085151632615,286.5591186939232,222.2698519516868,-84.7469,7.75,350.18,16.660379176527385,16.072316685559116,7.89,45.37,84.9933264989113,96.56317121844987,43.17,4398.45,271.67566573492377,214.0597977009239,58.66,10596.77,337.3607561120707,277.5736672655798,36.56,2470.07,279.38281783311777,200.86871806826554,58.41,9135.54,360.26647911539385,326.9174179034385,8.191600000000001,9.4136,12.52288,2023-07-12 19:18:48.342118
Rajnandini Metal Limited,RAJMET.NS,https://www.rajnandinimetal.com,"Rajnandini Metal Limited engages in the trading of ferrous and non-ferrous metal scrap in India and internationally. It offers steel, iron, iron alloy, castings, various metals, various kind of chemicals, furnace oils, petroleum products, iron and steel, aluminum, tin, nickel, zinc led, copper, cooper continuous road, brass, silicon scrap, and their products. The company also manufactures and sells copper products comprising copper rods, annealed bare copper wires, fine copper wires, bunched copper wires, and submersible wires and cables. The company was incorporated in 2010 and is based in Rewari, India.",Basic Materials,Other Industrial Metals & Mining,0.01255,0.13,0.049,0.027,276480000,0.47,2654208000,8.1,32.546665,Not Found,2023-07-10,9.600000381469727,761659,9.27516234995976,9.389582894335916,-0.11442054437615568,-0.17433920120900925,20.4255,4.92,425.64,0.04222806130383461,0.014979664208213395,3.78,336.37,0.06610466270107374,0.05143249233712985,1.59,40.92,0.25082367132644734,0.3049751813666396,-26.15,78.43,0.32365298657147257,0.6307305925263271,-52.24,3.67,1.648850299654299,0.9712492436261149,-65.01,393.99,-0.07463142943231915,-0.033317322639197705,8.191600000000001,9.4136,12.52288,2023-07-12 19:18:48.342118
Vedanta Limited,VEDL.NS,https://www.vedantalimited.com,"Vedanta Limited operates as a diversified natural resources company in India. It explores for, extracts, produces, and sells oil and gas, zinc, lead, silver, copper, aluminum, iron ore, steel, pig iron, and metallurgical coke. The company also operates a thermal coal-based commercial power facility of 600 megawatts (MW) at Jharsuguda in the State of Odisha in eastern India; 2 units of 300 MW thermal coal-based power plants at Korba; 1,980 MW thermal coal- based commercial power facilities; wind power plants; and a power plant situated at Mettur Dam in the state of Tamil Nadu in southern India. In addition, it manufactures and supplies billets, TMT bars, wire rods, and ductile iron pipes; mechanizes coal handling facilities and upgrades general cargo berth for handling coal at the outer harbor of Visakhapatnam Port on the east coast of India; and provides logistics and other allied services inter alia rendering stevedoring, and other allied services in ports and other allied sectors. Further, the company is involved in manufacturing glass substrates in South Korea and Taiwan. It also operates in Europe, Mexico, the United States, China, and internationally, as well as Namibia, Ireland, Australia, Liberia, and the United Arab Emirates. The company was formerly known as Sesa Sterlite Limited and changed its name to Vedanta Limited in March 2015. The company was founded in 1954 and is headquartered in Mumbai, India. Vedanta Limited operates as a subsidiary of Vedanta Resources Limited.",Basic Materials,Other Industrial Metals & Mining,1.329036,69.0,-0.676,-0.053,3708509952,49.53,1029667749888,224.8,340.75,-4.2,2023-07-10,282.25,8227148,279.72247298298663,280.1018748882741,-0.379401905287466,-0.708823746553476,5.6986,0.61,-2.69,0.2877003577916071,0.08235546031650243,1.49,121.29,0.4958209042699764,0.006820760557347483,1.99,108.19,0.673557111181708,-1.0258634938042248,4.58,-13.21,4.520060067852626,4.936064159180575,-10.54,29.44,-1.916814983633742,-1.5465379779558388,23.01,-48.59,20.554728210748266,23.687880764702367,8.191600000000001,9.4136,12.52288,2023-07-12 19:18:48.342118
Twentyfirst Century Management Services Limited,21STCENMGM.NS,https://www.tcms.bz,"Twentyfirst Century Management Services Limited invests in capital and debt instruments in India. The company invests and trades in shares and derivatives in the capital, and futures and options markets. Twentyfirst Century Management Services Limited was incorporated in 1986 and is based in Mumbai, India.",Financial Services,Capital Markets,0.420624,Not Found,Not Found,Not Found,10500000,-17.2,213149984,16.5,30.85,Not Found,2023-07-10,20.75,6395,21.592796761452142,20.895191665428392,0.6976050960237501,0.8870983978950178,-1.2064,-1.89,223.63,-0.1416204415752098,-0.04737332546781692,-9.19,507.89,-0.5016632113275072,0.018606275972305353,11.26,635.06,0.910890578055799,1.1644541383086628,-0.24,230.66,-0.05185331664736381,0.49243201769659184,-6.74,155.49,0.8137871982637712,0.9545859139332219,-15.65,210.89,0.5546340797828648,0.8968847533867998,11.252340000000002,13.03155,16.44496,2023-07-12 19:18:48.342118
