,title,source,link,date,summary,text
0,,Marketscreener.com,news.google.com/articles/CBMimQFodHRwczovL3d3dy5tYXJrZXRzY3JlZW5lci5jb20vcXVvdGUvc3RvY2svS1BJLUdSRUVOLUVORVJHWS1MSU1JVEVELTEwMzUwMDAxMi9uZXdzL0tQSS1HcmVlbi10by1Db2xsYWJvcmF0ZS13aXRoLWEtTWFoYXNodHJhLUdvdmVybm1lbnQtQ29tcGFueS00NDYyMzExNS_SAZ0BaHR0cHM6Ly93d3cubWFya2V0c2NyZWVuZXIuY29tL2FtcC9xdW90ZS9zdG9jay9LUEktR1JFRU4tRU5FUkdZLUxJTUlURUQtMTAzNTAwMDEyL25ld3MvS1BJLUdyZWVuLXRvLUNvbGxhYm9yYXRlLXdpdGgtYS1NYWhhc2h0cmEtR292ZXJubWVudC1Db21wYW55LTQ0NjIzMTE1Lw?hl=en-IN&gl=IN&ceid=IN%3Aen,2023-08-16,,
2,,The Economic Times,news.google.com/articles/CBMihAFodHRwczovL20uZWNvbm9taWN0aW1lcy5jb20vbWFya2V0cy9zdG9ja3Mvc3RvY2std2F0Y2gvc3RvY2stbWFya2V0LXVwZGF0ZS1wb3dlci1zdG9ja3MtdXAtYXMtbWFya2V0LXJpc2VzL2FydGljbGVzaG93LzEwMjc3MTgyMi5jbXPSAYgBaHR0cHM6Ly9tLmVjb25vbWljdGltZXMuY29tL21hcmtldHMvc3RvY2tzL3N0b2NrLXdhdGNoL3N0b2NrLW1hcmtldC11cGRhdGUtcG93ZXItc3RvY2tzLXVwLWFzLW1hcmtldC1yaXNlcy9hbXBfYXJ0aWNsZXNob3cvMTAyNzcxODIyLmNtcw?hl=en-IN&gl=IN&ceid=IN%3Aen,2023-08-16,,
4,,The Economic Times,news.google.com/articles/CBMihgFodHRwczovL20uZWNvbm9taWN0aW1lcy5jb20vbWFya2V0cy9zdG9ja3Mvc3RvY2std2F0Y2gvc3RvY2stbWFya2V0LXVwZGF0ZS1wb3dlci1zdG9ja3MtZG93bi1hcy1tYXJrZXQtcmlzZXMvYXJ0aWNsZXNob3cvMTAyNzIzNDg0LmNtc9IBigFodHRwczovL20uZWNvbm9taWN0aW1lcy5jb20vbWFya2V0cy9zdG9ja3Mvc3RvY2std2F0Y2gvc3RvY2stbWFya2V0LXVwZGF0ZS1wb3dlci1zdG9ja3MtZG93bi1hcy1tYXJrZXQtcmlzZXMvYW1wX2FydGljbGVzaG93LzEwMjcyMzQ4NC5jbXM?hl=en-IN&gl=IN&ceid=IN%3Aen,2023-08-14,,
29,,Indian Retailer,news.google.com/articles/CBMicWh0dHBzOi8vd3d3LmluZGlhbnJldGFpbGVyLmNvbS9hcnRpY2xlL3JldGFpbC1idXNpbmVzcy9yZXRhaWwtdHJlbmRzL3N1c3RhaW5hYmxlLWUtY29tbWVyY2UtbmVlZC1ob3VyLXRvZGF5cy10aW1l0gF1aHR0cHM6Ly93d3cuaW5kaWFucmV0YWlsZXIuY29tL2FtcC9hcnRpY2xlL3JldGFpbC1idXNpbmVzcy9yZXRhaWwtdHJlbmRzL3N1c3RhaW5hYmxlLWUtY29tbWVyY2UtbmVlZC1ob3VyLXRvZGF5cy10aW1l?hl=en-IN&gl=IN&ceid=IN%3Aen,2023-08-14,,
1,,Marketscreener.com,news.google.com/articles/CBMitwFodHRwczovL3d3dy5tYXJrZXRzY3JlZW5lci5jb20vcXVvdGUvc3RvY2svS1BJLUdSRUVOLUVORVJHWS1MSU1JVEVELTEwMzUwMDAxMi9uZXdzL0tQSS1HcmVlbi1FbmVyZ3ktTGltaXRlZC1SZXBvcnRzLUVhcm5pbmdzLVJlc3VsdHMtZm9yLXRoZS1GaXJzdC1RdWFydGVyLUVuZGVkLUp1bmUtMzAtMjAyMy00NDU4OTY0Ny_SAQA?hl=en-IN&gl=IN&ceid=IN%3Aen,2023-08-11,,
3,,Equity Bulls,news.google.com/articles/CBMiMmh0dHBzOi8vd3d3LmVxdWl0eWJ1bGxzLmNvbS9jYXRlZ29yeS5waHA_aWQ9MzM2NzM30gEA?hl=en-IN&gl=IN&ceid=IN%3Aen,2023-08-11,,
6,,The Economic Times,news.google.com/articles/CBMihgFodHRwczovL20uZWNvbm9taWN0aW1lcy5jb20vbWFya2V0cy9zdG9ja3Mvc3RvY2std2F0Y2gvc3RvY2stbWFya2V0LXVwZGF0ZS1wb3dlci1zdG9ja3MtZG93bi1hcy1tYXJrZXQtZmFsbHMvYXJ0aWNsZXNob3cvMTAyNjQ3NTkwLmNtc9IBAA?hl=en-IN&gl=IN&ceid=IN%3Aen,2023-08-11,,
8,Stock Market Highlights: Nifty forms long bear candle on daily charts. What traders should do next week,Economic Times,news.google.com/articles/CBMilAFodHRwczovL2Vjb25vbWljdGltZXMuaW5kaWF0aW1lcy5jb20vbWFya2V0cy9zdG9ja3MvbGl2ZS1ibG9nL2JzZS1zZW5zZXgtdG9kYXktbGl2ZS1uaWZ0eS1zdG9jay1tYXJrZXQtdXBkYXRlcy0xMS1hdWd1c3QtMjAyMy9saXZlYmxvZy8xMDI2MjcyMTkuY21z0gGYAWh0dHBzOi8vZWNvbm9taWN0aW1lcy5pbmRpYXRpbWVzLmNvbS9tYXJrZXRzL3N0b2Nrcy9saXZlLWJsb2cvYnNlLXNlbnNleC10b2RheS1saXZlLW5pZnR5LXN0b2NrLW1hcmtldC11cGRhdGVzLTExLWF1Z3VzdC0yMDIzL2FtcF9saXZlYmxvZy8xMDI2MjcyMTkuY21z?hl=en-IN&gl=IN&ceid=IN%3Aen,2023-08-11,,
10,,BusinessLine,news.google.com/articles/CBMiZ2h0dHBzOi8vd3d3LnRoZWhpbmR1YnVzaW5lc3NsaW5lLmNvbS9tYXJrZXRzL3NoYXJlLW1hcmtldC1oaWdobGlnaHRzLTExLWF1Z3VzdC0yMDIzL2FydGljbGU2NzE4MTUwMy5lY2XSAWxodHRwczovL3d3dy50aGVoaW5kdWJ1c2luZXNzbGluZS5jb20vbWFya2V0cy9zaGFyZS1tYXJrZXQtaGlnaGxpZ2h0cy0xMS1hdWd1c3QtMjAyMy9hcnRpY2xlNjcxODE1MDMuZWNlL2FtcC8?hl=en-IN&gl=IN&ceid=IN%3Aen,2023-08-11,,
5,,BusinessLine,news.google.com/articles/CBMiYWh0dHBzOi8vd3d3LnRoZWhpbmR1YnVzaW5lc3NsaW5lLmNvbS9tYXJrZXRzL3N0b2Nrcy10by13YXRjaC1vbi1hdWd1c3QtNC0yMDIzL2FydGljbGU2NzE1Njk1Mi5lY2XSAWZodHRwczovL3d3dy50aGVoaW5kdWJ1c2luZXNzbGluZS5jb20vbWFya2V0cy9zdG9ja3MtdG8td2F0Y2gtb24tYXVndXN0LTQtMjAyMy9hcnRpY2xlNjcxNTY5NTIuZWNlL2FtcC8?hl=en-IN&gl=IN&ceid=IN%3Aen,2023-08-04,,
