,title,source,link,date,summary,text
25,,India TV News,news.google.com/articles/CBMijQFodHRwczovL3d3dy5pbmRpYXR2bmV3cy5jb20vZW50ZXJ0YWlubWVudC9yZWdpb25hbC1jaW5lbWEvZDUxLWRoYW51c2gtdG8tcm9tYW5jZS1yYXNobWlrYS1tYW5kYW5uYS1pbi1zZWtoYXIta2FtbXVsYS1zLWZpbG0tMjAyMy0wOC0xNC04ODY2MzbSAZEBaHR0cHM6Ly93d3cuaW5kaWF0dm5ld3MuY29tL2FtcC9lbnRlcnRhaW5tZW50L3JlZ2lvbmFsLWNpbmVtYS9kNTEtZGhhbnVzaC10by1yb21hbmNlLXJhc2htaWthLW1hbmRhbm5hLWluLXNla2hhci1rYW1tdWxhLXMtZmlsbS0yMDIzLTA4LTE0LTg4NjYzNg?hl=en-IN&gl=IN&ceid=IN%3Aen,2023-08-14,,
8,,Moneycontrol,news.google.com/articles/CBMiiwFodHRwczovL3d3dy5tb25leWNvbnRyb2wuY29tL25ld3MvcGhvdG9zL2J1c2luZXNzL21hcmtldHMvbWFya2V0LWV4dGVuZHMtbG9zc2VzLWluLXRoaXJkLXdlZWstYW1pZC1taXhlZC1kYXRhLXJ1cGVlLWVuZHMtZmxhdC0xMTE2NTY2MS5odG1s0gGPAWh0dHBzOi8vd3d3Lm1vbmV5Y29udHJvbC5jb20vbmV3cy9waG90b3MvYnVzaW5lc3MvbWFya2V0cy9tYXJrZXQtZXh0ZW5kcy1sb3NzZXMtaW4tdGhpcmQtd2Vlay1hbWlkLW1peGVkLWRhdGEtcnVwZWUtZW5kcy1mbGF0LTExMTY1NjYxLmh0bWwvYW1w?hl=en-IN&gl=IN&ceid=IN%3Aen,2023-08-12,,
77,,The Business Journals,news.google.com/articles/CBMiXGh0dHBzOi8vd3d3LmJpempvdXJuYWxzLmNvbS9zYW5qb3NlL25ld3MvMjAyMy8wOC8xMS9tYWpvci1sZWFndWUtY3JpY2tldC1zaWxpY29uLXZhbGxleS5odG1s0gEA?hl=en-IN&gl=IN&ceid=IN%3Aen,2023-08-11,,
0,,Business Today,news.google.com/articles/CBMijgFodHRwczovL3d3dy5idXNpbmVzc3RvZGF5LmluL21hcmtldHMvY29tcGFueS1zdG9jay9zdG9yeS92ZW5reXMtaW5kaWEtc2hhcmVzLWhhbHQtMy1kYXktd2lubmluZy1ydW4tY3Jhc2gtMTUtdG9kYXktaGVyZXMtd2h5LTM5MzEwMi0yMDIzLTA4LTA30gGSAWh0dHBzOi8vd3d3LmJ1c2luZXNzdG9kYXkuaW4vYW1wL21hcmtldHMvY29tcGFueS1zdG9jay9zdG9yeS92ZW5reXMtaW5kaWEtc2hhcmVzLWhhbHQtMy1kYXktd2lubmluZy1ydW4tY3Jhc2gtMTUtdG9kYXktaGVyZXMtd2h5LTM5MzEwMi0yMDIzLTA4LTA3?hl=en-IN&gl=IN&ceid=IN%3Aen,2023-08-07,,
1,,The Economic Times,news.google.com/articles/CBMiggFodHRwczovL20uZWNvbm9taWN0aW1lcy5jb20vbWFya2V0cy9zdG9ja3MvbmV3cy92ZW5reXMtc2hhcmUtcGx1bmdlLTktb24tNjAteW95LWRlY2xpbmUtaW4tcTEtbmV0LXByb2ZpdC9hcnRpY2xlc2hvdy8xMDI0OTU1NDkuY21z0gGGAWh0dHBzOi8vbS5lY29ub21pY3RpbWVzLmNvbS9tYXJrZXRzL3N0b2Nrcy9uZXdzL3Zlbmt5cy1zaGFyZS1wbHVuZ2UtOS1vbi02MC15b3ktZGVjbGluZS1pbi1xMS1uZXQtcHJvZml0L2FtcF9hcnRpY2xlc2hvdy8xMDI0OTU1NDkuY21z?hl=en-IN&gl=IN&ceid=IN%3Aen,2023-08-07,,
2,,Reuters India,news.google.com/articles/CBMieWh0dHBzOi8vd3d3LnJldXRlcnMuY29tL3dvcmxkL2luZGlhL3BvdWx0cnktZmlybS12ZW5reXMtaW5kaWEtcHJvZml0LXR1bWJsZXMtb3Zlci02MC1sb3dlci1zYWxlcy1yZWFsaXNhdGlvbnMtMjAyMy0wOC0wNy_SAQA?hl=en-IN&gl=IN&ceid=IN%3Aen,2023-08-07,,
4,,Mint,news.google.com/articles/CBMilgFodHRwczovL3d3dy5saXZlbWludC5jb20vbWFya2V0L3N0b2NrLW1hcmtldC1uZXdzL3RvcC1nYWluZXJzLWxvc2Vycy10b2RheS1tLW0tc3VuLXBoYXJtYS10YXRhLW1vdG9ycy1zYmktYW1vbmctbW9zdC1hY3RpdmUtc3RvY2tzLTExNjkxNDAyNDc1MDg4Lmh0bWzSAZoBaHR0cHM6Ly93d3cubGl2ZW1pbnQuY29tL21hcmtldC9zdG9jay1tYXJrZXQtbmV3cy90b3AtZ2FpbmVycy1sb3NlcnMtdG9kYXktbS1tLXN1bi1waGFybWEtdGF0YS1tb3RvcnMtc2JpLWFtb25nLW1vc3QtYWN0aXZlLXN0b2Nrcy9hbXAtMTE2OTE0MDI0NzUwODguaHRtbA?hl=en-IN&gl=IN&ceid=IN%3Aen,2023-08-07,,
5,,Investing.com India,news.google.com/articles/CBMicGh0dHBzOi8vaW4uaW52ZXN0aW5nLmNvbS9uZXdzL3Zlbmt5cy1wbHVtbWV0cy0xNi1vbi1wb29yLXExLXNob3ctcHJvZml0LWZhbGxzLTYxLXByb2ZpdC1tYXJnaW5zLWFmZmVjdGVkLTM3NTkwNzHSAQA?hl=en-IN&gl=IN&ceid=IN%3Aen,2023-08-07,,
7,,Economic Times,news.google.com/articles/CBMilAFodHRwczovL2Vjb25vbWljdGltZXMuaW5kaWF0aW1lcy5jb20vbWFya2V0cy9zdG9ja3MvbGl2ZS1ibG9nL2JzZS1zZW5zZXgtdG9kYXktbGl2ZS1uaWZ0eS1zdG9jay1tYXJrZXQtdXBkYXRlcy0wNy1hdWd1c3QtMjAyMy9saXZlYmxvZy8xMDI0ODQyMDMuY21z0gGYAWh0dHBzOi8vZWNvbm9taWN0aW1lcy5pbmRpYXRpbWVzLmNvbS9tYXJrZXRzL3N0b2Nrcy9saXZlLWJsb2cvYnNlLXNlbnNleC10b2RheS1saXZlLW5pZnR5LXN0b2NrLW1hcmtldC11cGRhdGVzLTA3LWF1Z3VzdC0yMDIzL2FtcF9saXZlYmxvZy8xMDI0ODQyMDMuY21z?hl=en-IN&gl=IN&ceid=IN%3Aen,2023-08-07,,
3,,Simply Wall St,news.google.com/articles/CBMilwFodHRwczovL3NpbXBseXdhbGwuc3Qvc3RvY2tzL2luL2Zvb2QtYmV2ZXJhZ2UtdG9iYWNjby9uc2UtdmVua2V5cy92ZW5reXMtaW5kaWEtc2hhcmVzL25ld3MvcHJpdmF0ZS1jb21wYW5pZXMtaW4tdmVua3lzLWluZGlhLWxpbWl0ZWQtbnNldmVua2V5cy1hcmUtaXRz0gGbAWh0dHBzOi8vc2ltcGx5d2FsbC5zdC9zdG9ja3MvaW4vZm9vZC1iZXZlcmFnZS10b2JhY2NvL25zZS12ZW5rZXlzL3Zlbmt5cy1pbmRpYS1zaGFyZXMvbmV3cy9wcml2YXRlLWNvbXBhbmllcy1pbi12ZW5reXMtaW5kaWEtbGltaXRlZC1uc2V2ZW5rZXlzLWFyZS1pdHMvYW1w?hl=en-IN&gl=IN&ceid=IN%3Aen,2023-08-05,,
