,title,source,link,date,summary,text
8,,The Economic Times,news.google.com/articles/CBMieWh0dHBzOi8vbS5lY29ub21pY3RpbWVzLmNvbS9pbmR1c3RyeS9yZW5ld2FibGVzL2hlcm8tZWxlY3RyaWMtZmFjZXMtcmF0aW5nLWN1dC1vbi1sb2FuLWRlZmF1bHRzL2FydGljbGVzaG93LzEwMjc4MDk4OS5jbXPSAX1odHRwczovL20uZWNvbm9taWN0aW1lcy5jb20vaW5kdXN0cnkvcmVuZXdhYmxlcy9oZXJvLWVsZWN0cmljLWZhY2VzLXJhdGluZy1jdXQtb24tbG9hbi1kZWZhdWx0cy9hbXBfYXJ0aWNsZXNob3cvMTAyNzgwOTg5LmNtcw?hl=en-IN&gl=IN&ceid=IN%3Aen,2023-08-17,,
31,,The Economic Times,news.google.com/articles/CBMitgFodHRwczovL20uZWNvbm9taWN0aW1lcy5jb20vdGVjaC9uZXdzbGV0dGVycy9tb3JuaW5nLWRpc3BhdGNoL3NtYXJ0d2F0Y2gtbWFrZXJzLXdhZ2UtcHJpY2Utd2FyLWdvdnQtYXNrcy1nbG9iYWwtaXQtaGFyZHdhcmUtZmlybXMtdG8tdXAtbG9jYWwtdmFsdWUtYWRkaXRpb24vYXJ0aWNsZXNob3cvMTAyNzg0OTM3LmNtc9IBugFodHRwczovL20uZWNvbm9taWN0aW1lcy5jb20vdGVjaC9uZXdzbGV0dGVycy9tb3JuaW5nLWRpc3BhdGNoL3NtYXJ0d2F0Y2gtbWFrZXJzLXdhZ2UtcHJpY2Utd2FyLWdvdnQtYXNrcy1nbG9iYWwtaXQtaGFyZHdhcmUtZmlybXMtdG8tdXAtbG9jYWwtdmFsdWUtYWRkaXRpb24vYW1wX2FydGljbGVzaG93LzEwMjc4NDkzNy5jbXM?hl=en-IN&gl=IN&ceid=IN%3Aen,2023-08-17,,
0,,ANI News,news.google.com/articles/CBMitwFodHRwczovL3d3dy5hbmluZXdzLmluL25ld3MvYnVzaW5lc3MvYnVzaW5lc3MvdHZzLW1vdG9yLWNvbXBhbnktYW5kLWJtdy1tb3RvcnJhZC1jZWxlYnJhdGUtMTAtZ2xvcmlvdXMteWVhcnMtb2YtdGhlaXItc3RyYXRlZ2ljLXBhcnRuZXJzaGlwLWRlbGl2ZXJpbmctZ2xvYmFsLWFzcGlyYXRpb25zMjAyMzA4MTYxNDU2MjLSAQA?hl=en-IN&gl=IN&ceid=IN%3Aen,2023-08-16,,
2,,The Hindu,news.google.com/articles/CBMiggFodHRwczovL3d3dy50aGVoaW5kdS5jb20vYnVzaW5lc3MvdHZzLW1vdG9yLWJtdy1tb3RvcnJhZC1pbi10YWxrcy10by1leHBhbmQtbWFudWZhY3R1cmluZy1uZXR3b3JrLWJleW9uZC1pbmRpYS9hcnRpY2xlNjcyMDE4MzQuZWNl0gGHAWh0dHBzOi8vd3d3LnRoZWhpbmR1LmNvbS9idXNpbmVzcy90dnMtbW90b3ItYm13LW1vdG9ycmFkLWluLXRhbGtzLXRvLWV4cGFuZC1tYW51ZmFjdHVyaW5nLW5ldHdvcmstYmV5b25kLWluZGlhL2FydGljbGU2NzIwMTgzNC5lY2UvYW1wLw?hl=en-IN&gl=IN&ceid=IN%3Aen,2023-08-16,,
4,,Autocar Professional,news.google.com/articles/CBMieWh0dHBzOi8vd3d3LmF1dG9jYXJwcm8uaW4vbmV3cy91bm8tbWluZGEtY29tbWlzc2lvbnMtdHdvLW5ldy1wbGFudHMtZm9yLW1hbnVmYWN0dXJpbmctb2YtZXYtY29tcG9uZW50cy1hbmQtc3lzdGVtcy0xMTYzNzjSAX9odHRwczovL3d3dy5hdXRvY2FycHJvLmluL25ld3MvdW5vLW1pbmRhLWNvbW1pc3Npb25zLXR3by1uZXctcGxhbnRzLWZvci1tYW51ZmFjdHVyaW5nLW9mLWV2LWNvbXBvbmVudHMtYW5kLXN5c3RlbXMtMTE2Mzc4P2FtcD0x?hl=en-IN&gl=IN&ceid=IN%3Aen,2023-08-16,,
33,,DNP INDIA ,news.google.com/articles/CBMipgFodHRwczovL3d3dy5kbnBpbmRpYS5pbi9hdXRvbW9iaWxlL3R2cy1jcmVvbi10ZWFzZWQtYWdhaW4tYWhlYWQtb2YtdGhlLW9mZmljaWFsLWxhdW5jaC1vbi1hdWd1c3QtMjMtd2lsbC1nZXQtc21hcnR3YXRjaC1jb25uZWN0aXZpdHktZmVhdHVyZS1hbGwteW91LW11c3Qta25vdy8yODc3OTYv0gGmAWh0dHBzOi8vd3d3LmRucGluZGlhLmluL2F1dG9tb2JpbGUvdHZzLWNyZW9uLXRlYXNlZC1hZ2Fpbi1haGVhZC1vZi10aGUtb2ZmaWNpYWwtbGF1bmNoLW9uLWF1Z3VzdC0yMy13aWxsLWdldC1zbWFydHdhdGNoLWNvbm5lY3Rpdml0eS1mZWF0dXJlLWFsbC15b3UtbXVzdC1rbm93LzI4Nzc5Ni8?hl=en-IN&gl=IN&ceid=IN%3Aen,2023-08-16,,
12,,BusinessLine,news.google.com/articles/CBMibmh0dHBzOi8vd3d3LnRoZWhpbmR1YnVzaW5lc3NsaW5lLmNvbS9tYXJrZXRzL3NoYXJlLW1hcmtldC1zZW5zZXgtbmlmdHktbGl2ZS0xNi1hdWd1c3QtMjAyMy9hcnRpY2xlNjcxOTgwNzQuZWNl0gFzaHR0cHM6Ly93d3cudGhlaGluZHVidXNpbmVzc2xpbmUuY29tL21hcmtldHMvc2hhcmUtbWFya2V0LXNlbnNleC1uaWZ0eS1saXZlLTE2LWF1Z3VzdC0yMDIzL2FydGljbGU2NzE5ODA3NC5lY2UvYW1wLw?hl=en-IN&gl=IN&ceid=IN%3Aen,2023-08-16,,
1,,Autocar Professional,news.google.com/articles/CBMibmh0dHBzOi8vd3d3LmF1dG9jYXJwcm8uaW4vbmV3cy90dnMtbW90b3ItYm13LW1vdG9ycmFkLWV4cGxvcmluZy1leHBhbnNpb24tbWFudWZhY3R1cmluZy1uZXR3b3JrLWZvci1ldnMtMTE2Mzc20gF0aHR0cHM6Ly93d3cuYXV0b2NhcnByby5pbi9uZXdzL3R2cy1tb3Rvci1ibXctbW90b3JyYWQtZXhwbG9yaW5nLWV4cGFuc2lvbi1tYW51ZmFjdHVyaW5nLW5ldHdvcmstZm9yLWV2cy0xMTYzNzY_YW1wPTE?hl=en-IN&gl=IN&ceid=IN%3Aen,2023-08-16,,
19,,The Financial Express,news.google.com/articles/CBMid2h0dHBzOi8vd3d3LmZpbmFuY2lhbGV4cHJlc3MuY29tL2J1c2luZXNzL2V4cHJlc3MtbW9iaWxpdHktY2hhbXBpb25pbmctdGhlLWNhdXNlLW9mLWluZGlhbi1hdXRvbW90aXZlLWluZHVzdHJ5LTMyMTA4NjIv0gF8aHR0cHM6Ly93d3cuZmluYW5jaWFsZXhwcmVzcy5jb20vYnVzaW5lc3MvZXhwcmVzcy1tb2JpbGl0eS1jaGFtcGlvbmluZy10aGUtY2F1c2Utb2YtaW5kaWFuLWF1dG9tb3RpdmUtaW5kdXN0cnktMzIxMDg2Mi9saXRlLw?hl=en-IN&gl=IN&ceid=IN%3Aen,2023-08-15,,
30,,Business Today,news.google.com/articles/CBMipAFodHRwczovL3d3dy5idXNpbmVzc3RvZGF5LmluL21hcmtldHMvc3RvY2tzL3N0b3J5L2lkYmktYmFuay1oZGZjLWJhbmstaWNpY2ktYmFuay1oZXJlcy13aGF0LXN1bm55LWFncmF3YWwtb2Ytc2JpLXNlY3VyaXRpZXMtc2F5cy1vbi10aGVzZS0zLXN0b2Nrcy0zOTQwMTMtMjAyMy0wOC0xNNIBqAFodHRwczovL3d3dy5idXNpbmVzc3RvZGF5LmluL2FtcC9tYXJrZXRzL3N0b2Nrcy9zdG9yeS9pZGJpLWJhbmstaGRmYy1iYW5rLWljaWNpLWJhbmstaGVyZXMtd2hhdC1zdW5ueS1hZ3Jhd2FsLW9mLXNiaS1zZWN1cml0aWVzLXNheXMtb24tdGhlc2UtMy1zdG9ja3MtMzk0MDEzLTIwMjMtMDgtMTQ?hl=en-IN&gl=IN&ceid=IN%3Aen,2023-08-14,,
