,title,source,link,date
0,"GSS Infotech share price Today Live Updates : GSS Infotech closed today at ₹191.25, down -1.6% from yesterday's ₹194.35 | Mint",Mint,news.google.com/articles/CBMicGh0dHBzOi8vd3d3LmxpdmVtaW50LmNvbS9tYXJrZXQvbGl2ZS1ibG9nL2dzcy1pbmZvdGVjaC1zaGFyZS1wcmljZS1saXZlLWJsb2ctZm9yLTE1LW5vdi0yMDIzLTExNzAwMDE2MTM3MTEwLmh0bWzSAXRodHRwczovL3d3dy5saXZlbWludC5jb20vbWFya2V0L2xpdmUtYmxvZy9nc3MtaW5mb3RlY2gtc2hhcmUtcHJpY2UtbGl2ZS1ibG9nLWZvci0xNS1ub3YtMjAyMy9hbXAtMTE3MDAwMTYxMzcxMTAuaHRtbA?hl=en-IN&gl=IN&ceid=IN%3Aen,2023-11-15
1,"Q2 Results today: Grasim, Manappuram Finance, others to announce Q2 earnings | Mint",Mint,news.google.com/articles/CBMikAFodHRwczovL3d3dy5saXZlbWludC5jb20vY29tcGFuaWVzL2NvbXBhbnktcmVzdWx0cy9xMi1yZXN1bHRzLXRvZGF5LWdyYXNpbS1tYW5hcHB1cmFtLWZpbmFuY2Utb3RoZXJzLXRvLWFubm91bmNlLXEyLWVhcm5pbmdzLTExNjk5ODQ1MDIwNzE0Lmh0bWzSAZQBaHR0cHM6Ly93d3cubGl2ZW1pbnQuY29tL2NvbXBhbmllcy9jb21wYW55LXJlc3VsdHMvcTItcmVzdWx0cy10b2RheS1ncmFzaW0tbWFuYXBwdXJhbS1maW5hbmNlLW90aGVycy10by1hbm5vdW5jZS1xMi1lYXJuaW5ncy9hbXAtMTE2OTk4NDUwMjA3MTQuaHRtbA?hl=en-IN&gl=IN&ceid=IN%3Aen,2023-11-13
