,title,source,link,date
0,Nestle Ind share price Today Live Updates : Nestle Ind shares surge as positive trading continues | Mint,Mint,news.google.com/articles/CBMibmh0dHBzOi8vd3d3LmxpdmVtaW50LmNvbS9tYXJrZXQvbGl2ZS1ibG9nL25lc3RsZS1pbmQtc2hhcmUtcHJpY2UtbGl2ZS1ibG9nLWZvci0yNC1hdWctMjAyMy0xMTY5Mjg0NTU3NjEyNi5odG1s0gFyaHR0cHM6Ly93d3cubGl2ZW1pbnQuY29tL21hcmtldC9saXZlLWJsb2cvbmVzdGxlLWluZC1zaGFyZS1wcmljZS1saXZlLWJsb2ctZm9yLTI0LWF1Zy0yMDIzL2FtcC0xMTY5Mjg0NTU3NjEyNi5odG1s?hl=en-IN&gl=IN&ceid=IN%3Aen,2023-08-24
2,"Nestle Ind share price Today Live Updates : Nestle Ind closed today at ₹21814.3, up 0.67% from yesterday's ₹21668.5 | Mint",Mint,news.google.com/articles/CBMibmh0dHBzOi8vd3d3LmxpdmVtaW50LmNvbS9tYXJrZXQvbGl2ZS1ibG9nL25lc3RsZS1pbmQtc2hhcmUtcHJpY2UtbGl2ZS1ibG9nLWZvci0xOC1hdWctMjAyMy0xMTY5MjMyNzMwMzAzNy5odG1s0gFyaHR0cHM6Ly93d3cubGl2ZW1pbnQuY29tL21hcmtldC9saXZlLWJsb2cvbmVzdGxlLWluZC1zaGFyZS1wcmljZS1saXZlLWJsb2ctZm9yLTE4LWF1Zy0yMDIzL2FtcC0xMTY5MjMyNzMwMzAzNy5odG1s?hl=en-IN&gl=IN&ceid=IN%3Aen,2023-08-18
