,title,source,link,date
6,"Stocks that will see action today: September 12, 2023",BusinessLine,news.google.com/articles/CBMidGh0dHBzOi8vd3d3LnRoZWhpbmR1YnVzaW5lc3NsaW5lLmNvbS9tYXJrZXRzL3N0b2Nrcy10aGF0LXdpbGwtc2VlLWFjdGlvbi10b2RheS1zZXB0ZW1iZXItMTItMjAyMy9hcnRpY2xlNjcyOTc3NzAuZWNl0gF5aHR0cHM6Ly93d3cudGhlaGluZHVidXNpbmVzc2xpbmUuY29tL21hcmtldHMvc3RvY2tzLXRoYXQtd2lsbC1zZWUtYWN0aW9uLXRvZGF5LXNlcHRlbWJlci0xMi0yMDIzL2FydGljbGU2NzI5Nzc3MC5lY2UvYW1wLw?hl=en-IN&gl=IN&ceid=IN%3Aen,2023-09-12
1,Gallant Ispat to Set Up Direct Reduced Iron Kiln at Gorakhpur Unit in India; Shares Climb 5%,Marketscreener.com,news.google.com/articles/CBMiswFodHRwczovL3d3dy5tYXJrZXRzY3JlZW5lci5jb20vcXVvdGUvc3RvY2svR0FMTEFOVFQtSVNQQVQtTElNSVRFRC05NzQzNTQ5L25ld3MvR2FsbGFudC1Jc3BhdC10by1TZXQtVXAtRGlyZWN0LVJlZHVjZWQtSXJvbi1LaWxuLWF0LUdvcmFraHB1ci1Vbml0LWluLUluZGlhLVNoYXJlcy1DbGltYi01LTQ0ODEyNTgwL9IBtwFodHRwczovL3d3dy5tYXJrZXRzY3JlZW5lci5jb20vYW1wL3F1b3RlL3N0b2NrL0dBTExBTlRULUlTUEFULUxJTUlURUQtOTc0MzU0OS9uZXdzL0dhbGxhbnQtSXNwYXQtdG8tU2V0LVVwLURpcmVjdC1SZWR1Y2VkLUlyb24tS2lsbi1hdC1Hb3Jha2hwdXItVW5pdC1pbi1JbmRpYS1TaGFyZXMtQ2xpbWItNS00NDgxMjU4MC8?hl=en-IN&gl=IN&ceid=IN%3Aen,2023-09-11
13,"Share Market Highlights 11 September 2023: Nifty hits 20k for first time, settles at fresh closing high; Sensex gains over 500 pts",BusinessLine,news.google.com/articles/CBMiamh0dHBzOi8vd3d3LnRoZWhpbmR1YnVzaW5lc3NsaW5lLmNvbS9tYXJrZXRzL3NoYXJlLW1hcmtldC1oaWdobGlnaHRzLTExLXNlcHRlbWJlci0yMDIzL2FydGljbGU2NzI5MjIwMi5lY2XSAW9odHRwczovL3d3dy50aGVoaW5kdWJ1c2luZXNzbGluZS5jb20vbWFya2V0cy9zaGFyZS1tYXJrZXQtaGlnaGxpZ2h0cy0xMS1zZXB0ZW1iZXItMjAyMy9hcnRpY2xlNjcyOTIyMDIuZWNlL2FtcC8?hl=en-IN&gl=IN&ceid=IN%3Aen,2023-09-11
