,title,source,link,date
0,"Goyal Salt stock makes stellar debut, lists at 242% premium over IPO price",Moneycontrol,news.google.com/articles/CBMihQFodHRwczovL3d3dy5tb25leWNvbnRyb2wuY29tL25ld3MvYnVzaW5lc3MvaXBvL2dveWFsLXNhbHQtc3RvY2stbWFrZXMtc3RlbGxhci1kZWJ1dC1saXN0cy1hdC0yNDItcHJlbWl1bS1vdmVyLWlwby1wcmljZS0xMTUxNDE0MS5odG1s0gGJAWh0dHBzOi8vd3d3Lm1vbmV5Y29udHJvbC5jb20vbmV3cy9idXNpbmVzcy9pcG8vZ295YWwtc2FsdC1zdG9jay1tYWtlcy1zdGVsbGFyLWRlYnV0LWxpc3RzLWF0LTI0Mi1wcmVtaXVtLW92ZXItaXBvLXByaWNlLTExNTE0MTQxLmh0bWwvYW1w?hl=en-IN&gl=IN&ceid=IN%3Aen,2023-10-11
12,Iosco DeFi regulation proposals would result in 'limited' fraud reduction,The Banker,news.google.com/articles/CBMibGh0dHBzOi8vd3d3LnRoZWJhbmtlci5jb20vSW9zY28tRGVGaS1yZWd1bGF0aW9uLXByb3Bvc2Fscy13b3VsZC1yZXN1bHQtaW4tbGltaXRlZC1mcmF1ZC1yZWR1Y3Rpb24tMTY5NzAwOTYyOdIBAA?hl=en-IN&gl=IN&ceid=IN%3Aen,2023-10-11
30,Agusto reaffirms Smart Residences Bbb-rating,Daily Trust,news.google.com/articles/CBMiRGh0dHBzOi8vZGFpbHl0cnVzdC5jb20vYWd1c3RvLXJlYWZmaXJtcy1zbWFydC1yZXNpZGVuY2VzLWJiYi1yYXRpbmcv0gEA?hl=en-IN&gl=IN&ceid=IN%3Aen,2023-10-11
27,Capital Markets Podcast: How Does Securities Laws Impact Private ...,Mondaq News Alerts,news.google.com/articles/CBMihAFodHRwczovL3d3dy5tb25kYXEuY29tL2NhbmFkYS9zaGFyZWhvbGRlcnMvMTM3NjAyOC9jYXBpdGFsLW1hcmtldHMtcG9kY2FzdC1ob3ctZG9lcy1zZWN1cml0aWVzLWxhd3MtaW1wYWN0LXByaXZhdGUtY29tcGFuaWVzLXBvZGNhc3TSAQA?hl=en-IN&gl=IN&ceid=IN%3Aen,2023-10-11
25,"Meet Harvard grad with wealth of Rs 3000 crore, who made debut in Hurun India Rich List; first from his sector",DNA India,news.google.com/articles/CBMingFodHRwczovL3d3dy5kbmFpbmRpYS5jb20vYnVzaW5lc3MvcmVwb3J0LW1lZXQtaGFydmFyZC1ncmFkLXdpdGgtd2VhbHRoLW9mLXJzLTMwMDAtY3JvcmUtbWFkZS1kZWJ1dC1pbi1odXJ1bi1pbmRpYS1yaWNoLWxpc3QtMjAyMy1maXJzdC1mcm9tLWhpcy1zZWN0b3ItMzA2Mzk0OdIBogFodHRwczovL3d3dy5kbmFpbmRpYS5jb20vYnVzaW5lc3MvcmVwb3J0LW1lZXQtaGFydmFyZC1ncmFkLXdpdGgtd2VhbHRoLW9mLXJzLTMwMDAtY3JvcmUtbWFkZS1kZWJ1dC1pbi1odXJ1bi1pbmRpYS1yaWNoLWxpc3QtMjAyMy1maXJzdC1mcm9tLWhpcy1zZWN0b3ItMzA2Mzk0OS9hbXA?hl=en-IN&gl=IN&ceid=IN%3Aen,2023-10-11
21,Robinson Capital Announces Quarterly Distribution on the Robinson ...,GlobeNewswire,news.google.com/articles/CBMitAFodHRwczovL3d3dy5nbG9iZW5ld3N3aXJlLmNvbS9uZXdzLXJlbGVhc2UvMjAyMy8xMC8xMS8yNzU4Njc3LzAvZW4vUm9iaW5zb24tQ2FwaXRhbC1Bbm5vdW5jZXMtUXVhcnRlcmx5LURpc3RyaWJ1dGlvbi1vbi10aGUtUm9iaW5zb24tQWx0ZXJuYXRpdmUtWWllbGQtUHJlLU1lcmdlci1TUEFDLUVURi1TUEFYLmh0bWzSAQA?hl=en-IN&gl=IN&ceid=IN%3Aen,2023-10-11
20,Can UK smaller companies come back into favour,Shares magazine,news.google.com/articles/CBMiXWh0dHBzOi8vd3d3LnNoYXJlc21hZ2F6aW5lLmNvLnVrL25ld3Mvc2hhcmVzL2Nhbi11ay1zbWFsbGVyLWNvbXBhbmllcy1jb21lLWJhY2staW50by1mYXZvdXItMtIBAA?hl=en-IN&gl=IN&ceid=IN%3Aen,2023-10-11
18,Caledonian Trust delays sale of St Margaret's House after deal flops,Marketscreener.com,news.google.com/articles/CBMimwFodHRwczovL3d3dy5tYXJrZXRzY3JlZW5lci5jb20vcXVvdGUvc3RvY2svQ0FMRURPTklBTi1UUlVTVC1QTEMtNDAwMTc0NC9uZXdzL0NhbGVkb25pYW4tVHJ1c3QtZGVsYXlzLXNhbGUtb2YtU3QtTWFyZ2FyZXQtcy1Ib3VzZS1hZnRlci1kZWFsLWZsb3BzLTQ1MDQxOTc2L9IBAA?hl=en-IN&gl=IN&ceid=IN%3Aen,2023-10-11
1,InsuranceDekho raises $60 million led by Beams Fintech Fund,The Hindu,news.google.com/articles/CBMicGh0dHBzOi8vd3d3LnRoZWhpbmR1LmNvbS9idXNpbmVzcy9pbnN1cmFuY2VkZWtoby1yYWlzZXMtNjAtbWlsbGlvbi1sZWQtYnktYmVhbXMtZmludGVjaC1mdW5kL2FydGljbGU2NzQwOTE5OC5lY2XSAXVodHRwczovL3d3dy50aGVoaW5kdS5jb20vYnVzaW5lc3MvaW5zdXJhbmNlZGVraG8tcmFpc2VzLTYwLW1pbGxpb24tbGVkLWJ5LWJlYW1zLWZpbnRlY2gtZnVuZC9hcnRpY2xlNjc0MDkxOTguZWNlL2FtcC8?hl=en-IN&gl=IN&ceid=IN%3Aen,2023-10-11
13,IRM Energy IPO to open on October 18: check out price band and other details,Zee Business,news.google.com/articles/CBMiemh0dHBzOi8vd3d3LnplZWJpei5jb20vbWFya2V0cy9pcG8vbmV3cy1pcm0tZW5lcmd5LWlwby10by1vcGVuLW9uLW9jdG9iZXItMTgtY2hlY2stb3V0LXByaWNlLWJhbmQtYW5kLW90aGVyLWRldGFpbHMtMjU4NzU10gF-aHR0cHM6Ly93d3cuemVlYml6LmNvbS9tYXJrZXRzL2lwby9uZXdzLWlybS1lbmVyZ3ktaXBvLXRvLW9wZW4tb24tb2N0b2Jlci0xOC1jaGVjay1vdXQtcHJpY2UtYmFuZC1hbmQtb3RoZXItZGV0YWlscy0yNTg3NTUvYW1w?hl=en-IN&gl=IN&ceid=IN%3Aen,2023-10-11
