,title,source,link,date
9,High Level Committee on Domestic Manufacturing of Heavy ...,Global Green News,news.google.com/articles/CBMiiAFodHRwczovL2dsb2JhbGdyZWVuZXdzLmNvbS8yMDIzLzExLzIzL2hpZ2gtbGV2ZWwtY29tbWl0dGVlLW9uLWRvbWVzdGljLW1hbnVmYWN0dXJpbmctb2YtaGVhdnktbWFjaGluZXJ5LXN1Ym1pdHMtcmVwb3J0LXRvLWNvYWwtbWluaXN0cnkv0gEA?hl=en-IN&gl=IN&ceid=IN%3Aen,2023-11-23
2,These 50 smallcap stocks rose 15-50% as Sensex logs third weekly gain led by IT; do you own? | Mint,Mint,news.google.com/articles/CBMinwFodHRwczovL3d3dy5saXZlbWludC5jb20vbWFya2V0L3N0b2NrLW1hcmtldC1uZXdzL3RoZXNlLTUwLXNtYWxsY2FwLXN0b2Nrcy1yb3NlLTE1LTUwLWFzLXNlbnNleC1sb2dzLXRoaXJkLXdlZWtseS1nYWluLWxlZC1ieS1pdC1kby15b3Utb3duLTExNzAwMzIwNzYxNTUwLmh0bWzSAaMBaHR0cHM6Ly93d3cubGl2ZW1pbnQuY29tL21hcmtldC9zdG9jay1tYXJrZXQtbmV3cy90aGVzZS01MC1zbWFsbGNhcC1zdG9ja3Mtcm9zZS0xNS01MC1hcy1zZW5zZXgtbG9ncy10aGlyZC13ZWVrbHktZ2Fpbi1sZWQtYnktaXQtZG8teW91LW93bi9hbXAtMTE3MDAzMjA3NjE1NTAuaHRtbA?hl=en-IN&gl=IN&ceid=IN%3Aen,2023-11-18
0,"Tata Elxsi, Bajaj Auto, Eicher Motors and Oberoi Realty are among 168 stocks that hit 52-week high; 6 touch 52-week low",The Financial Express,news.google.com/articles/CBMipQFodHRwczovL3d3dy5maW5hbmNpYWxleHByZXNzLmNvbS9tYXJrZXQvdGF0YS1lbHhzaS1iYWphai1hdXRvLWVpY2hlci1tb3RvcnMtYW5kLW9iZXJvaS1yZWFsdHktYXJlLWFtb25nLTE2OC1zdG9ja3MtdGhhdC1oaXQtNTItd2Vlay1oaWdoLTYtdG91Y2gtNTItd2Vlay1sb3ctMzMwODY5Mi_SAaoBaHR0cHM6Ly93d3cuZmluYW5jaWFsZXhwcmVzcy5jb20vbWFya2V0L3RhdGEtZWx4c2ktYmFqYWotYXV0by1laWNoZXItbW90b3JzLWFuZC1vYmVyb2ktcmVhbHR5LWFyZS1hbW9uZy0xNjgtc3RvY2tzLXRoYXQtaGl0LTUyLXdlZWstaGlnaC02LXRvdWNoLTUyLXdlZWstbG93LTMzMDg2OTIvbGl0ZS8?hl=en-IN&gl=IN&ceid=IN%3Aen,2023-11-16
