,title,source,link,date,summary,text
0,,The Economic Times,news.google.com/articles/CBMivgFodHRwczovL20uZWNvbm9taWN0aW1lcy5jb20vbmV3cy9jb21wYW55L2NvcnBvcmF0ZS10cmVuZHMvZXRwd2xhLTIwMjMtc29tYS1tb25kYWwtYW5kLWhpbmEtbmFnYXJhamFuLXdpbi1jZW8tb2YtdGhlLXllYXItY2F0ZWdvcnktYXQtZXRwcmltZS13b21lbi1sZWFkZXJzaGlwLWF3YXJkcy9hcnRpY2xlc2hvdy8xMDI3OTU4MzguY21z0gHCAWh0dHBzOi8vbS5lY29ub21pY3RpbWVzLmNvbS9uZXdzL2NvbXBhbnkvY29ycG9yYXRlLXRyZW5kcy9ldHB3bGEtMjAyMy1zb21hLW1vbmRhbC1hbmQtaGluYS1uYWdhcmFqYW4td2luLWNlby1vZi10aGUteWVhci1jYXRlZ29yeS1hdC1ldHByaW1lLXdvbWVuLWxlYWRlcnNoaXAtYXdhcmRzL2FtcF9hcnRpY2xlc2hvdy8xMDI3OTU4MzguY21z?hl=en-IN&gl=IN&ceid=IN%3Aen,2023-08-17,,
2,,Business Today,news.google.com/articles/CBMiiAFodHRwczovL3d3dy5idXNpbmVzc3RvZGF5LmluL2xhdGVzdC9jb3Jwb3JhdGUvc3Rvcnkvd2lwcm8tb3BlbnMtY2VudGVyLW9mLWV4Y2VsbGVuY2Utb24tZ2VuZXJhdGl2ZS1haS1hdC10aGUtaWl0LWRlbGhpLTM5NDQxMi0yMDIzLTA4LTE30gGMAWh0dHBzOi8vd3d3LmJ1c2luZXNzdG9kYXkuaW4vYW1wL2xhdGVzdC9jb3Jwb3JhdGUvc3Rvcnkvd2lwcm8tb3BlbnMtY2VudGVyLW9mLWV4Y2VsbGVuY2Utb24tZ2VuZXJhdGl2ZS1haS1hdC10aGUtaWl0LWRlbGhpLTM5NDQxMi0yMDIzLTA4LTE3?hl=en-IN&gl=IN&ceid=IN%3Aen,2023-08-17,,
3,,Urban Transport News,news.google.com/articles/CBMieGh0dHBzOi8vdXJiYW50cmFuc3BvcnRuZXdzLmNvbS9uZXdzL2V4Y2x1c2l2ZS1pbnRlcnZpZXctd2l0aC1yYWplc2gtcHJhc2FkLWRpcmVjdG9yLW9wZXJhdGlvbnMtcmFpbC12aWthcy1uaWdhbS1sdGQtcnZubNIBAA?hl=en-IN&gl=IN&ceid=IN%3Aen,2023-08-17,,
8,,HospiBuz,news.google.com/articles/CBMibmh0dHBzOi8vaG9zcGlidXouY29tL3BsYXllcnMtd2luLWJpZy1hdC1kZWx0aW4tenVyaXMtZnJlZWRvbS1maWVzdGEtc291dGgtZ29hcy1vbmx5LWx1eHVyeS1nYW1pbmctZGVzdGluYXRpb24v0gEA?hl=en-IN&gl=IN&ceid=IN%3Aen,2023-08-17,,
9,MONIN Coffee Creativity Cup 2023 Crowns India's First-Ever Barista Champion,Press Trust of India,news.google.com/articles/CBMicmh0dHBzOi8vd3d3LnB0aW5ld3MuY29tL3B0aS9NT05JTi1Db2ZmZWUtQ3JlYXRpdml0eS1DdXAtMjAyMy1Dcm93bnMtSW5kaWEtcy1GaXJzdC1FdmVyLUJhcmlzdGEtQ2hhbXBpb24vNjQyNjQuaHRtbNIBAA?hl=en-IN&gl=IN&ceid=IN%3Aen,2023-08-17,,
10,,YourStory,news.google.com/articles/CBMiYmh0dHBzOi8veW91cnN0b3J5LmNvbS8yMDIzLzA4L2R1bnpvLWRhcmstdGltZXMtY29udGludWUtZHluYW1vZmwtcmFpc2VzLTE1MS1taWxsaW9uLXNlcmllcy1hLXJvdW5k0gEA?hl=en-IN&gl=IN&ceid=IN%3Aen,2023-08-17,,
6,,PR Newswire,news.google.com/articles/CBMimwFodHRwczovL3d3dy5wcm5ld3N3aXJlLmNvbS9pbi9uZXdzLXJlbGVhc2VzL3RlamFzLW5ldHdvcmtzLXdpbnMtcnMtNy00OTItY3JvcmUtYXBwcm94LXVzZC05MDAtbWlsbGlvbi1vcmRlci1mb3ItYnNubHMtcGFuLWluZGlhLTRnNWctbmV0d29yay0zMDE5MDE5MDEuaHRtbNIBAA?hl=en-IN&gl=IN&ceid=IN%3Aen,2023-08-16,,
7,,Business Today,news.google.com/articles/CBMihAJodHRwczovL3d3dy5idXNpbmVzc3RvZGF5LmluL3Zpc3VhbHN0b3JpZXMvY29ycG9yYXRlcy9yaWwtY2hhaXJtYW4tbXVrZXNoLWFtYmFuaXMtaW5kZXBlbmRlbmNlLWRheS1jZWxlYnJhdGlvbi13aXRoLWZhbWlseS1hbmFuZC1tYWhpbmRyYS1zaGFyZXMtYXJteS1qYXdhbnMtdmlkZW8tY3AtZ3VybmFuaS1vbi1haS1hbnVwYW0tbWl0dGFsLXNoYXJlcy1zaGFhZGljb21zLWNhbXBhaWduLWluZGlhLWluYy1vbi14LXR3aXR0ZXItNTYyMDctMTYtMDgtMjAyM9IBhAJodHRwczovL3d3dy5idXNpbmVzc3RvZGF5LmluL3Zpc3VhbHN0b3JpZXMvY29ycG9yYXRlcy9yaWwtY2hhaXJtYW4tbXVrZXNoLWFtYmFuaXMtaW5kZXBlbmRlbmNlLWRheS1jZWxlYnJhdGlvbi13aXRoLWZhbWlseS1hbmFuZC1tYWhpbmRyYS1zaGFyZXMtYXJteS1qYXdhbnMtdmlkZW8tY3AtZ3VybmFuaS1vbi1haS1hbnVwYW0tbWl0dGFsLXNoYXJlcy1zaGFhZGljb21zLWNhbXBhaWduLWluZGlhLWluYy1vbi14LXR3aXR0ZXItNTYyMDctMTYtMDgtMjAyMw?hl=en-IN&gl=IN&ceid=IN%3Aen,2023-08-16,,
14,,ESPNcricinfo,news.google.com/articles/CBMiZmh0dHBzOi8vd3d3LmVzcG5jcmljaW5mby5jb20vc3Rvcnkva25lZS1pbmp1cnktY3V0cy1wcml0aHZpLXNoYXdzLW5vcnRoYW1wdG9uc2hpcmUtc3RpbnQtc2hvcnQtMTM5Mjc1NtIBc2h0dHBzOi8vd3d3LmVzcG5jcmljaW5mby5jb20vc3Rvcnkva25lZS1pbmp1cnktY3V0cy1wcml0aHZpLXNoYXdzLW5vcnRoYW1wdG9uc2hpcmUtc3RpbnQtc2hvcnQtMTM5Mjc1Nj9wbGF0Zm9ybT1hbXA?hl=en-IN&gl=IN&ceid=IN%3Aen,2023-08-16,,
1,,Mint,news.google.com/articles/CBMiV2h0dHBzOi8vd3d3LmxpdmVtaW50LmNvbS9jb21wYW5pZXMvaW5kaWEtYS1wcmlvcml0eS1tYXJrZXQtZm9yLWViYXktMTE2OTIxMjcwNzIzNTcuaHRtbNIBAA?hl=en-IN&gl=IN&ceid=IN%3Aen,2023-08-15,,
