,title,source,link,date,summary,text
8,,MintGenie,news.google.com/articles/CBMinAFodHRwczovL21pbnRnZW5pZS5saXZlbWludC5jb20vbmV3cy9tYXJrZXRzLzMwLW5pZnR5LTUwMC1zdG9ja3MtZGVsaXZlcmVkLXJldHVybnMtb2YtdXAtdG8tNDk3LWluLWxhc3Qtb25lLXllYXItbWF6YWdvbi1kb2NrLXRvcHBlZC10aGUtbGlzdC0xNTE2OTE5OTkxNTg5MzTSAaABaHR0cHM6Ly9taW50Z2VuaWUubGl2ZW1pbnQuY29tL2FtcC9uZXdzL21hcmtldHMvMzAtbmlmdHktNTAwLXN0b2Nrcy1kZWxpdmVyZWQtcmV0dXJucy1vZi11cC10by00OTctaW4tbGFzdC1vbmUteWVhci1tYXphZ29uLWRvY2stdG9wcGVkLXRoZS1saXN0LTE1MTY5MTk5OTE1ODkzNA?hl=en-IN&gl=IN&ceid=IN%3Aen,2023-08-15,,
11,,The Chaminade Talon,news.google.com/articles/CBMi3gFodHRwczovL3d3dy5jaGFtaW5hZGV0YWxvbi5jb20vbWljcm9sZW5kaW5nLW1hcmtldC0yMDIzLWdyb3d0aC1hbmFseXNpcy1idXNpbmVzcy1vcHBvcnR1bml0eS1yZWdpb25hbC1kZW1hbmQtdG9wLWNvbXBhbmllcy1hbmQtZW5kLXVzZXItaW5kdXN0cnktdGlsbC0yMDI5LWFjY2lvbi1pbnRlcm5hdGlvbmFsLWJhamFqLWZpbnNlcnYtYmFuZGhhbi1iYW5rLWJsdWV2aW5lLWVxdWl0YXMtcy_SAQA?hl=en-IN&gl=IN&ceid=IN%3Aen,2023-08-14,,
12,,News Karnataka,news.google.com/articles/CBMiYmh0dHBzOi8vbmV3c2thcm5hdGFrYS5jb20vYnVzaW5lc3MvbWFya2V0cy90cmVuZGluZy1jb25zdW1lci10ZWNoLXN0b2Nrcy10by13YXRjaC1pbi0yMDIzLzEyMDgyMDIz0gEA?hl=en-IN&gl=IN&ceid=IN%3Aen,2023-08-12,,
47,,The Ken,news.google.com/articles/CBMiTmh0dHBzOi8vdGhlLWtlbi5jb20vdGhlLW51dGdyYWYvdHdvLXJlZ3VsYXRvcnMtdXNoZXItaW4tZmludGVjaHMtZGlub3NhdXItZXJhL9IBAA?hl=en-IN&gl=IN&ceid=IN%3Aen,2023-08-12,,
7,,Trade Brains,news.google.com/articles/CBMicmh0dHBzOi8vdHJhZGVicmFpbnMuaW4vZmVhdHVyZXMvYmFuay1zdG9ja3MtdW5kZXItMTAwLXdpdGgtYS1uZXQtcHJvZml0LWdyb3d0aC1vZi11cC10by0zMDAtdG8ta2VlcC1vbi15b3VyLXJhZGFyL9IBAA?hl=en-IN&gl=IN&ceid=IN%3Aen,2023-08-04,,
