,title,source,link,date
0,"Techindia Nirman share price Today Live Updates : Techindia Nirman closed today at ₹15.3, up 0% from yesterday's ₹15.3 | Mint",Mint,news.google.com/articles/CBMidGh0dHBzOi8vd3d3LmxpdmVtaW50LmNvbS9tYXJrZXQvbGl2ZS1ibG9nL3RlY2hpbmRpYS1uaXJtYW4tc2hhcmUtcHJpY2UtbGl2ZS1ibG9nLWZvci0wNi1ub3YtMjAyMy0xMTY5OTIzNzk5NDY2Ny5odG1s0gF4aHR0cHM6Ly93d3cubGl2ZW1pbnQuY29tL21hcmtldC9saXZlLWJsb2cvdGVjaGluZGlhLW5pcm1hbi1zaGFyZS1wcmljZS1saXZlLWJsb2ctZm9yLTA2LW5vdi0yMDIzL2FtcC0xMTY5OTIzNzk5NDY2Ny5odG1s?hl=en-IN&gl=IN&ceid=IN%3Aen,2023-11-06
2,"Techindia Nirman share price Today Live Updates : Techindia Nirman closed today at ₹14.45, up 0.49% from yesterday's ₹14.38 | Mint",Mint,news.google.com/articles/CBMidGh0dHBzOi8vd3d3LmxpdmVtaW50LmNvbS9tYXJrZXQvbGl2ZS1ibG9nL3RlY2hpbmRpYS1uaXJtYW4tc2hhcmUtcHJpY2UtbGl2ZS1ibG9nLWZvci0yNy1vY3QtMjAyMy0xMTY5ODM3NDk4MzU0Ni5odG1s0gF4aHR0cHM6Ly93d3cubGl2ZW1pbnQuY29tL21hcmtldC9saXZlLWJsb2cvdGVjaGluZGlhLW5pcm1hbi1zaGFyZS1wcmljZS1saXZlLWJsb2ctZm9yLTI3LW9jdC0yMDIzL2FtcC0xMTY5ODM3NDk4MzU0Ni5odG1s?hl=en-IN&gl=IN&ceid=IN%3Aen,2023-10-27
