,title,source,link,date,summary,text
3,,Digital Journal,news.google.com/articles/CBMihQJodHRwczovL3d3dy5kaWdpdGFsam91cm5hbC5jb20vcHIvbmV3cy94aGVyYWxkL2Nhc2gtbWFuYWdlbWVudC1zZXJ2aWNlcy1tYXJrZXQtMjAyMy1jdXJyZW50LXRyZW5kcy1kZW1hbmQtYW5hbHlzaXMtZGV0YWlsZWQtc3R1ZHktcHJvZHVjdGlvbi1ncm93dGgtYW5kLXJlZ2lvbmFsLW92ZXJ2aWV3LXRpbGwtMjAyOS1jbXMtaW5mby1zeXN0ZW1zLWx0ZC1zYWdlLWludGFjY3QtaW5jLWludGltdXMtaW50ZXJuYXRpb25hbC1ncm91cC1wZWMtY29ycG9yYXRpb27SAQA?hl=en-IN&gl=IN&ceid=IN%3Aen,2023-08-17,,
14,"Stock Market LIVE Updates: Sensex falls 400 points, Nifty nears 19,350; broader markets outperform; India VIX rises 3%",Economic Times,news.google.com/articles/CBMilAFodHRwczovL2Vjb25vbWljdGltZXMuaW5kaWF0aW1lcy5jb20vbWFya2V0cy9zdG9ja3MvbGl2ZS1ibG9nL2JzZS1zZW5zZXgtdG9kYXktbGl2ZS1uaWZ0eS1zdG9jay1tYXJrZXQtdXBkYXRlcy0xNy1hdWd1c3QtMjAyMy9saXZlYmxvZy8xMDI3ODUzMzkuY21z0gGYAWh0dHBzOi8vZWNvbm9taWN0aW1lcy5pbmRpYXRpbWVzLmNvbS9tYXJrZXRzL3N0b2Nrcy9saXZlLWJsb2cvYnNlLXNlbnNleC10b2RheS1saXZlLW5pZnR5LXN0b2NrLW1hcmtldC11cGRhdGVzLTE3LWF1Z3VzdC0yMDIzL2FtcF9saXZlYmxvZy8xMDI3ODUzMzkuY21z?hl=en-IN&gl=IN&ceid=IN%3Aen,2023-08-17,,
19,,The Economic Times,news.google.com/articles/CBMitgFodHRwczovL20uZWNvbm9taWN0aW1lcy5jb20vdGVjaC9uZXdzbGV0dGVycy9tb3JuaW5nLWRpc3BhdGNoL3NtYXJ0d2F0Y2gtbWFrZXJzLXdhZ2UtcHJpY2Utd2FyLWdvdnQtYXNrcy1nbG9iYWwtaXQtaGFyZHdhcmUtZmlybXMtdG8tdXAtbG9jYWwtdmFsdWUtYWRkaXRpb24vYXJ0aWNsZXNob3cvMTAyNzg0OTM3LmNtc9IBugFodHRwczovL20uZWNvbm9taWN0aW1lcy5jb20vdGVjaC9uZXdzbGV0dGVycy9tb3JuaW5nLWRpc3BhdGNoL3NtYXJ0d2F0Y2gtbWFrZXJzLXdhZ2UtcHJpY2Utd2FyLWdvdnQtYXNrcy1nbG9iYWwtaXQtaGFyZHdhcmUtZmlybXMtdG8tdXAtbG9jYWwtdmFsdWUtYWRkaXRpb24vYW1wX2FydGljbGVzaG93LzEwMjc4NDkzNy5jbXM?hl=en-IN&gl=IN&ceid=IN%3Aen,2023-08-17,,
16,,The Economic Times,news.google.com/articles/CBMiggFodHRwczovL20uZWNvbm9taWN0aW1lcy5jb20vdGVjaC90ZWNobm9sb2d5L2dvdmVybm1lbnRzLWFicm9hZC1sb29rLXRvLW1vZGVsLW9uLWluZGlhcy1sYW5kbWFyay1kYXRhLWxhdy9hcnRpY2xlc2hvdy8xMDI3NTIxNzYuY21z0gGGAWh0dHBzOi8vbS5lY29ub21pY3RpbWVzLmNvbS90ZWNoL3RlY2hub2xvZ3kvZ292ZXJubWVudHMtYWJyb2FkLWxvb2stdG8tbW9kZWwtb24taW5kaWFzLWxhbmRtYXJrLWRhdGEtbGF3L2FtcF9hcnRpY2xlc2hvdy8xMDI3NTIxNzYuY21z?hl=en-IN&gl=IN&ceid=IN%3Aen,2023-08-16,,
8,,Yahoo Finance,news.google.com/articles/CBMiWGh0dHBzOi8vZmluYW5jZS55YWhvby5jb20vbmV3cy9hcnRpZmljaWFsLWludGVsbGlnZW5jZS10aGluZ3MtbWFya2V0LXNpemUtMTA0MTAwMDA3Lmh0bWzSAWBodHRwczovL2ZpbmFuY2UueWFob28uY29tL2FtcGh0bWwvbmV3cy9hcnRpZmljaWFsLWludGVsbGlnZW5jZS10aGluZ3MtbWFya2V0LXNpemUtMTA0MTAwMDA3Lmh0bWw?hl=en-IN&gl=IN&ceid=IN%3Aen,2023-08-14,,
9,,The Economic Times,news.google.com/articles/CBMirQFodHRwczovL20uZWNvbm9taWN0aW1lcy5jb20vbmV3cy9lY29ub215L3BvbGljeS9yYmktc2VsZWN0cy1tY2tpbnNleS1hbmQtY29tcGFueS1hY2NlbnR1cmUtc29sdXRpb25zLXRvLXVzZS1haS1tbC10by1pbXByb3ZlLXJlZ3VsYXRvcnktc3VwZXJ2aXNpb24vYXJ0aWNsZXNob3cvMTAyNjk2NzUyLmNtc9IBsQFodHRwczovL20uZWNvbm9taWN0aW1lcy5jb20vbmV3cy9lY29ub215L3BvbGljeS9yYmktc2VsZWN0cy1tY2tpbnNleS1hbmQtY29tcGFueS1hY2NlbnR1cmUtc29sdXRpb25zLXRvLXVzZS1haS1tbC10by1pbXByb3ZlLXJlZ3VsYXRvcnktc3VwZXJ2aXNpb24vYW1wX2FydGljbGVzaG93LzEwMjY5Njc1Mi5jbXM?hl=en-IN&gl=IN&ceid=IN%3Aen,2023-08-13,,
4,,Moneycontrol,news.google.com/articles/CBMikQFodHRwczovL3d3dy5tb25leWNvbnRyb2wuY29tL25ld3MvcGhvdG9zL2J1c2luZXNzL3N0b2Nrcy9idXp6aW5nLXN0b2Nrcy1oZXJvLW1vdG9jb3JwLW9uZ2MtYXBvbGxvLXR5cmVzLW1hemFnb24tZG9jay1vdGhlcnMtaW4tbmV3cy0xMTE1MDUxMS5odG1s0gGVAWh0dHBzOi8vd3d3Lm1vbmV5Y29udHJvbC5jb20vbmV3cy9waG90b3MvYnVzaW5lc3Mvc3RvY2tzL2J1enppbmctc3RvY2tzLWhlcm8tbW90b2NvcnAtb25nYy1hcG9sbG8tdHlyZXMtbWF6YWdvbi1kb2NrLW90aGVycy1pbi1uZXdzLTExMTUwNTExLmh0bWwvYW1w?hl=en-IN&gl=IN&ceid=IN%3Aen,2023-08-11,,
0,,Moneycontrol,news.google.com/articles/CBMigAFodHRwczovL3d3dy5tb25leWNvbnRyb2wuY29tL25ld3MvYnVzaW5lc3MvZWFybmluZ3MvY21zLWluZm8tc3lzdGVtcy10cmFkZXMtOC1sb3dlci1hZnRlci1ycy0xMTYzLWNyb3JlLWJsb2NrLWRlYWwtMTExMzk1MTEuaHRtbNIBhAFodHRwczovL3d3dy5tb25leWNvbnRyb2wuY29tL25ld3MvYnVzaW5lc3MvZWFybmluZ3MvY21zLWluZm8tc3lzdGVtcy10cmFkZXMtOC1sb3dlci1hZnRlci1ycy0xMTYzLWNyb3JlLWJsb2NrLWRlYWwtMTExMzk1MTEuaHRtbC9hbXA?hl=en-IN&gl=IN&ceid=IN%3Aen,2023-08-10,,
2,,Business Standard,news.google.com/articles/CBMiemh0dHBzOi8vd3d3LmJ1c2luZXNzLXN0YW5kYXJkLmNvbS9tYXJrZXRzL25ld3MvY21zLWluZm8tc3lzdGVtcy10dW1ibGVzLTktYWZ0ZXItaHVnZS1ibG9jay1kZWFsLW9uLWJzZS0xMjMwODEwMDAyMDZfMS5odG1s0gF-aHR0cHM6Ly93d3cuYnVzaW5lc3Mtc3RhbmRhcmQuY29tL2FtcC9tYXJrZXRzL25ld3MvY21zLWluZm8tc3lzdGVtcy10dW1ibGVzLTktYWZ0ZXItaHVnZS1ibG9jay1kZWFsLW9uLWJzZS0xMjMwODEwMDAyMDZfMS5odG1s?hl=en-IN&gl=IN&ceid=IN%3Aen,2023-08-10,,
5,,Mint,news.google.com/articles/CBMirwFodHRwczovL3d3dy5saXZlbWludC5jb20vbWFya2V0L3N0b2NrLW1hcmtldC1uZXdzL3RvcC1nYWluZXJzLWxvc2Vycy10b2RheS10aXRhbi1jb21wYW55LWluZHVzaW5kLWJhbmstYXNpYW4tcGFpbnRzLWl0Yy1rb3Rhay1tYWhpbmRyYS1iYW5rLWNoZWNrLWZ1bGwtbGlzdC0xMTY5MTY2MzI5NTQzNi5odG1s0gGzAWh0dHBzOi8vd3d3LmxpdmVtaW50LmNvbS9tYXJrZXQvc3RvY2stbWFya2V0LW5ld3MvdG9wLWdhaW5lcnMtbG9zZXJzLXRvZGF5LXRpdGFuLWNvbXBhbnktaW5kdXNpbmQtYmFuay1hc2lhbi1wYWludHMtaXRjLWtvdGFrLW1haGluZHJhLWJhbmstY2hlY2stZnVsbC1saXN0L2FtcC0xMTY5MTY2MzI5NTQzNi5odG1s?hl=en-IN&gl=IN&ceid=IN%3Aen,2023-08-10,,
