,title,source,link,date
0,"1,741 per cent returns in this multibagger stock; Board likely to ...",Dalal Street Investment Journal,news.google.com/articles/CBMijgFodHRwczovL3d3dy5kc2lqLmluL2RzaWphcnRpY2xlZGV0YWlsLzE3NDEtcGVyLWNlbnQtcmV0dXJucy1pbi10aGlzLW11bHRpYmFnZ2VyLXN0b2NrLWJvYXJkLWxpa2VseS10by1hbm5vdW5jZS1ib251cy1zaGFyZXMtYW5kLWRpdmlkZW5kLTMyODI20gEA?hl=en-IN&gl=IN&ceid=IN%3Aen,2023-08-27
2,"Share Market Highlights 18 August, 2023: Sensex extends losses, closes below 65k amid global pressure; Nifty ends in red",BusinessLine,news.google.com/articles/CBMiZ2h0dHBzOi8vd3d3LnRoZWhpbmR1YnVzaW5lc3NsaW5lLmNvbS9tYXJrZXRzL3NoYXJlLW1hcmtldC1oaWdobGlnaHRzLTE4LWF1Z3VzdC0yMDIzL2FydGljbGU2NzIwNTY1Ny5lY2XSAWxodHRwczovL3d3dy50aGVoaW5kdWJ1c2luZXNzbGluZS5jb20vbWFya2V0cy9zaGFyZS1tYXJrZXQtaGlnaGxpZ2h0cy0xOC1hdWd1c3QtMjAyMy9hcnRpY2xlNjcyMDU2NTcuZWNlL2FtcC8?hl=en-IN&gl=IN&ceid=IN%3Aen,2023-08-18
