,title,source,link,date
6,"Share Market Highlights 28 Sep 2023: Sensex sheds 610 pts; Nifty closes below 19,550; TechM, Asian Paints among top losers",BusinessLine,news.google.com/articles/CBMiamh0dHBzOi8vd3d3LnRoZWhpbmR1YnVzaW5lc3NsaW5lLmNvbS9tYXJrZXRzL3NoYXJlLW1hcmtldC1oaWdobGlnaHRzLTI4LXNlcHRlbWJlci0yMDIzL2FydGljbGU2NzM1Mzg2NS5lY2XSAW9odHRwczovL3d3dy50aGVoaW5kdWJ1c2luZXNzbGluZS5jb20vbWFya2V0cy9zaGFyZS1tYXJrZXQtaGlnaGxpZ2h0cy0yOC1zZXB0ZW1iZXItMjAyMy9hcnRpY2xlNjczNTM4NjUuZWNlL2FtcC8?hl=en-IN&gl=IN&ceid=IN%3Aen,2023-09-28
2,"Bajaj Holdings, others to trade ex-dividend next week; HAL to declare stock split; check details | Mint",Mint,news.google.com/articles/CBMiswFodHRwczovL3d3dy5saXZlbWludC5jb20vbWFya2V0L3N0b2NrLW1hcmtldC1uZXdzL2RpdmlkZW5kLXN0b2Nrcy1iYWphai1ob2xkaW5ncy1vdGhlcnMtdG8tdHJhZGUtZXgtZGl2aWRlbmQtbmV4dC13ZWVrLWhhbC10by1kZWNsYXJlLXN0b2NrLXNwbGl0LWNoZWNrLWRldGFpbHMtMTE2OTU0NzA3MTAxNDYuaHRtbNIBtwFodHRwczovL3d3dy5saXZlbWludC5jb20vbWFya2V0L3N0b2NrLW1hcmtldC1uZXdzL2RpdmlkZW5kLXN0b2Nrcy1iYWphai1ob2xkaW5ncy1vdGhlcnMtdG8tdHJhZGUtZXgtZGl2aWRlbmQtbmV4dC13ZWVrLWhhbC10by1kZWNsYXJlLXN0b2NrLXNwbGl0LWNoZWNrLWRldGFpbHMvYW1wLTExNjk1NDcwNzEwMTQ2Lmh0bWw?hl=en-IN&gl=IN&ceid=IN%3Aen,2023-09-23
