,title,source,link,date,summary,text
17,,India Shorts,news.google.com/articles/CBMihQFodHRwczovL2luZGlhc2hvcnRzLmNvbS9yYXJlLWVhcnRoLW1ldGFscy1tYXJrZXQtd29ydGgtOS02LWJpbGxpb24tYnktMjAyNi1nbG9iYWxseS1hdC1hLWNhZ3Itb2YtMTItMzMtc2F5cy1tYXJrZXRzYW5kbWFya2V0cy8xMzkyNDQv0gGFAWh0dHBzOi8vaW5kaWFzaG9ydHMuY29tL3JhcmUtZWFydGgtbWV0YWxzLW1hcmtldC13b3J0aC05LTYtYmlsbGlvbi1ieS0yMDI2LWdsb2JhbGx5LWF0LWEtY2Fnci1vZi0xMi0zMy1zYXlzLW1hcmtldHNhbmRtYXJrZXRzLzEzOTI0NC8?hl=en-IN&gl=IN&ceid=IN%3Aen,2023-08-17,,
30,,The Chaminade Talon,news.google.com/articles/CBMi4wFodHRwczovL3d3dy5jaGFtaW5hZGV0YWxvbi5jb20vbmVvZHltaXVtLXByYXNlb2R5bWl1bS1hbGxveS1tYXJrZXQtcmVzZWFyY2gtcmVwb3J0LWFuYWx5c2lzLWFuZC1mb3JlY2FzdHMtdG8tMjAyOS1hbGItbWF0ZXJpYWxzLWluYy1xcy1hZHZhbmNlZC1tYXRlcmlhbHMtaW5jLWFkdmFuY2VkLWVuZ2luZWVyaW5nLW1hdGVyaWFscy1saW1pdGVkLWF1c3RyYWxpYW4tc3RyYXRlZ2ljLW1hdGVyaWFsL9IBAA?hl=en-IN&gl=IN&ceid=IN%3Aen,2023-08-17,,
0,,PharmiWeb.com,news.google.com/articles/CBMikAFodHRwczovL3d3dy5waGFybWl3ZWIuY29tL3ByZXNzLXJlbGVhc2UvMjAyMy0wOC0xNi9tZWRpY2FsLWNhbm51bGEtbWFya2V0LWlzLWxpa2VseS10by1yZWFjaC1hLXZhbHVlLW9mLTc2NDU5LW1pbGxpb24tYnktMjAzMC13aXRoLWEtY2Fnci1vZi03MDDSAQA?hl=en-IN&gl=IN&ceid=IN%3Aen,2023-08-16,,
23,,The Chaminade Talon,news.google.com/articles/CBMikgFodHRwczovL3d3dy5jaGFtaW5hZGV0YWxvbi5jb20vd2F0ZXItZGlzcGVuc2VyLW1hcmtldC0yMDIzLXJlc2VhcmNoLWFuYWx5c2lzLW1lcmNrLWtnYWEtM20tY29tcGFueS1wYXJrZXItaGFubmlmaW4tY29ycG9yYXRpb24tYW1hem9uLWZpbHRlcnMtbHRkL9IBAA?hl=en-IN&gl=IN&ceid=IN%3Aen,2023-08-16,,
51,,openPR,news.google.com/articles/CBMiW2h0dHBzOi8vd3d3Lm9wZW5wci5jb20vbmV3cy8zMTY2NDk5L2Fpci1mcnllci1tYXJrZXQtMjAyMy1sYXRlc3QtdHJlbmRzLWluZHVzdHJ5LXNpemUtbWFqb3LSAVpodHRwczovL3d3dy5vcGVucHIuY29tL2FtcC8zMTY2NDk5L2Fpci1mcnllci1tYXJrZXQtMjAyMy1sYXRlc3QtdHJlbmRzLWluZHVzdHJ5LXNpemUtbWFqb3I?hl=en-IN&gl=IN&ceid=IN%3Aen,2023-08-16,,
8,,BusinessLine,news.google.com/articles/CBMiZ2h0dHBzOi8vd3d3LnRoZWhpbmR1YnVzaW5lc3NsaW5lLmNvbS9tYXJrZXRzL3NoYXJlLW1hcmtldC1oaWdobGlnaHRzLTExLWF1Z3VzdC0yMDIzL2FydGljbGU2NzE4MTUwMy5lY2XSAWxodHRwczovL3d3dy50aGVoaW5kdWJ1c2luZXNzbGluZS5jb20vbWFya2V0cy9zaGFyZS1tYXJrZXQtaGlnaGxpZ2h0cy0xMS1hdWd1c3QtMjAyMy9hcnRpY2xlNjcxODE1MDMuZWNlL2FtcC8?hl=en-IN&gl=IN&ceid=IN%3Aen,2023-08-11,,
11,,Jagran English,news.google.com/articles/CBMilAFodHRwczovL2VuZ2xpc2guamFncmFuLmNvbS9idXNpbmVzcy9tc2NpLWdsb2JhbC1zdGFuZGFyZC1pbmRleC1oZGZjLWFtYy1hc2hvay1sZXlsYW5kLWluY2x1ZGVkLWluLWdsb2JhbC1zdGFuZGFyZC1pbmRleC1hZGFuaXMtYWNjLWV4Y2x1ZGVkLTEwMDkzMDg00gGZAWh0dHBzOi8vZW5nbGlzaC5qYWdyYW4uY29tL2xpdGUvYnVzaW5lc3MvbXNjaS1nbG9iYWwtc3RhbmRhcmQtaW5kZXgtaGRmYy1hbWMtYXNob2stbGV5bGFuZC1pbmNsdWRlZC1pbi1nbG9iYWwtc3RhbmRhcmQtaW5kZXgtYWRhbmlzLWFjYy1leGNsdWRlZC0xMDA5MzA4NA?hl=en-IN&gl=IN&ceid=IN%3Aen,2023-08-11,,
99,,theyyscene.ca,news.google.com/articles/CBMikwFodHRwczovL3d3dy50aGV5eXNjZW5lLmNhL29yZ2FuaWMtbWlsay1wcm9kdWN0cy1tYXJrZXQtc2l6ZS1pcy1leHBlY3RlZC10by1leGhpYml0LWhpZ2hlc3QtZ3Jvd3RoLWJ5LTIwMjktYXJsYS1mb29kLWhvcml6b24tb3JnYW5pYy1vcmdhbmljLXZhbGxleS_SAQA?hl=en-IN&gl=IN&ceid=IN%3Aen,2023-08-11,,
91,,Benzinga,news.google.com/articles/CBMiigFodHRwczovL3d3dy5iZW56aW5nYS5jb20vcHJlc3NyZWxlYXNlcy8yMy8wOC9nMzM3MTE2NzEvdGVsZWhlYWx0aC10ZWxlbWVkaWNpbmUtbWFya2V0LWlzLWV4cGVjdGVkLXRvLXJlYWNoLTI4NS03LWJpbGxpb24tbWFya2V0c2FuZG1hcmtldHPSAS1odHRwczovL3d3dy5iZW56aW5nYS5jb20vYW1wL2NvbnRlbnQvMzM3MTE2NzE?hl=en-IN&gl=IN&ceid=IN%3Aen,2023-08-10,,
1,,India Today,news.google.com/articles/CBMidmh0dHBzOi8vd3d3LmluZGlhdG9kYXkuaW4vaW5kaWEtdG9kYXktaW5zaWdodC9zdG9yeS9ib29tLXRpbWUtZm9yLWlwb3MtYnV0LWlzLXRoZS10cmVuZC1zdXN0YWluYWJsZS0yNDE3NTg3LTIwMjMtMDgtMDfSAXpodHRwczovL3d3dy5pbmRpYXRvZGF5LmluL2FtcC9pbmRpYS10b2RheS1pbnNpZ2h0L3N0b3J5L2Jvb20tdGltZS1mb3ItaXBvcy1idXQtaXMtdGhlLXRyZW5kLXN1c3RhaW5hYmxlLTI0MTc1ODctMjAyMy0wOC0wNw?hl=en-IN&gl=IN&ceid=IN%3Aen,2023-08-07,,
