Trading Day,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,date_only,Close_ema_12,Close_ema_26,rsi,ADX,Close_ema_20,sma_20,Close_ema_5,macd,macd_ema_9,RollingMean,RollingStd,UpperBand1,LowerBand1,UpperBand2,LowerBand2,symbol,created_on
11,2023-07-25 00:00:00+05:30,646.7856462352171,653.7296639095216,638.8992140528512,639.5936279296875,34048,0.0,0.0,2023-07-25,650.0491171499465,651.2433268050523,42.93331549258394,17.332285781957555,651.9695582593065,664.9442687988281,644.0139392038516,-1.1942096551058512,3.167018916910541,664.9442687988281,21.961830874233673,686.9060996730618,642.9824379245945,708.8679305472955,621.0206070503608,COSMOFIRST.NS,2023-08-08 21:13:00.166075
12,2023-07-24 00:00:00+05:30,639.841648309512,649.9104984668385,639.841648309512,645.198486328125,18971,0.0,0.0,2023-07-24,651.9501151899937,652.1753027150816,45.879043432464734,18.578873852491437,653.2722877676874,667.5953979492188,646.2240948409335,-0.22518752508790385,4.2573260599146385,667.5953979492188,21.940865459863854,689.5362634090826,645.6545324893549,711.4771288689465,623.713667029491,COSMOFIRST.NS,2023-08-08 21:13:00.166075
13,2023-07-21 00:00:00+05:30,647.0336575443667,648.9184865915947,637.1632201493089,640.2384643554688,33967,0.0,0.0,2023-07-21,653.1776840739698,652.7334480260381,42.64237404896274,19.496513467075697,654.1221616034308,669.4306030273438,646.7368990973378,0.4442360479316676,5.3779544561652735,669.4306030273438,21.49950359978946,690.9301066271332,647.9310994275543,712.4296102269227,626.4315958277648,COSMOFIRST.NS,2023-08-08 21:13:00.166075
14,2023-07-20 00:00:00+05:30,645.7936291349741,652.8864712467423,645.7936291349741,648.025634765625,29007,0.0,0.0,2023-07-20,655.5302694773336,653.7330467196837,46.716909269753565,20.375233921906574,655.5836034190057,671.025244140625,649.9861164682723,1.7972227576499336,6.611384058223675,671.025244140625,20.373614995538205,691.3988591361632,650.6516291450868,711.7724741317014,630.2780141495485,COSMOFIRST.NS,2023-08-08 21:13:00.166075
15,2023-07-19 00:00:00+05:30,644.8016657933377,659.6321162159908,644.8016657933377,649.6128540039062,48475,0.0,0.0,2023-07-19,656.8947485158261,654.1896396760083,47.5785432642031,21.708880990593844,656.3791790667301,670.8987670898438,650.9663573195958,2.7051088398178535,7.81492438336711,670.8987670898438,20.53115108306739,691.4299181729111,650.3676160067764,711.9610692559786,629.836464923709,COSMOFIRST.NS,2023-08-08 21:13:00.166075
16,2023-07-18 00:00:00+05:30,657.2017158107049,657.2017158107049,642.817678257112,647.4801025390625,38602,0.0,0.0,2023-07-18,658.2187293361752,654.5557825297765,46.347606858644895,23.14511629533398,657.0914238101852,670.3432464599609,651.6431089774405,3.662946806398736,9.092378269254423,670.3432464599609,21.2742677400236,691.6175141999845,649.0689787199374,712.8917819400082,627.7947109799137,COSMOFIRST.NS,2023-08-08 21:13:00.166075
17,2023-07-17 00:00:00+05:30,650.654519631896,661.6657241050867,647.8272759368107,650.8032836914062,47360,0.0,0.0,2023-07-17,660.1712069356503,655.1218369290335,47.97819481960338,24.91734983328032,658.1031418387245,669.2669219970703,653.7246121966294,5.049370006616755,10.449736134968346,669.2669219970703,22.96890528108142,692.2358272781518,646.2980167159889,715.2047325592332,623.3291114349074,COSMOFIRST.NS,2023-08-08 21:13:00.166075
18,2023-07-14 00:00:00+05:30,649.7616410392088,658.7888396195683,646.7856335229986,649.0176391601562,34296,0.0,0.0,2023-07-14,661.874465707331,655.4673211880438,47.04547707147743,26.352898746423232,658.8715479594947,666.8365142822265,655.185276449241,6.407144519287158,11.799827667056244,666.8365142822265,27.206252548229525,694.042766830456,639.630261733997,721.2490193786856,612.4240091857674,COSMOFIRST.NS,2023-08-08 21:13:00.166075
19,2023-07-13 00:00:00+05:30,654.2752571208616,662.0625133163488,648.3728299528246,649.7616577148438,26032,0.0,0.0,2023-07-13,664.21207053409,655.9832957502748,47.37152103001868,28.143080318566682,659.9088015173198,664.2523498535156,658.2690950937833,8.228774783815197,13.147998453998515,664.2523498535156,31.155724073722396,695.408073927238,633.0966257797933,726.5637980009604,601.9409017060708,COSMOFIRST.NS,2023-08-08 21:13:00.166075
20,2023-07-12 00:00:00+05:30,654.7216818107828,662.9057028334175,644.7024802927936,654.2752685546875,48724,0.0,0.0,2023-07-12,666.8394183194076,656.4810267931093,49.30532406168396,29.930974024892702,660.9769219175804,661.5739440917969,662.522813783253,10.358391526298306,14.377804371544345,661.5739440917969,34.58129069955568,696.1552347913525,626.9926533922412,730.7365254909082,592.4113626926855,COSMOFIRST.NS,2023-08-08 21:13:00.166075
21,2023-07-11 00:00:00+05:30,658.1937010318921,664.2448924518053,650.7536818039506,656.3585205078125,36528,0.0,0.0,2023-07-11,669.1238091857203,656.657487452183,50.18262869701496,31.856398016320725,661.6823591136745,658.4838562011719,666.6465863975358,12.46632173353737,15.382657582855852,658.4838562011719,37.87241325095327,696.3562694521252,620.6114429502186,734.2286827030784,582.7390296992653,COSMOFIRST.NS,2023-08-08 21:13:00.166075
22,2023-07-10 00:00:00+05:30,668.1137040202303,672.6768914398641,650.8032477606343,652.6384887695312,44649,0.0,0.0,2023-07-10,671.4447707635218,656.6814048077326,48.665721577234976,33.43274528419568,662.2427631774493,655.7533660888672,671.7906193423973,14.76336595578914,16.11174154518547,655.7533660888672,39.94556909997737,695.6989351888445,615.8077969888899,735.644504288822,575.8622278889125,COSMOFIRST.NS,2023-08-08 21:13:00.166075
23,2023-07-07 00:00:00+05:30,684.4817373617202,692.7153461510134,665.584101504835,667.915283203125,61990,0.0,0.0,2023-07-07,674.8640947624291,657.0048380907888,55.060309473122935,35.126333542677976,663.2537394309144,653.858642578125,681.3666846288304,17.85925667164031,16.448835442534552,653.858642578125,40.986253089825794,694.8448956679508,612.8723894882992,735.8311487577766,571.8861363984734,COSMOFIRST.NS,2023-08-08 21:13:00.166075
24,2023-07-06 00:00:00+05:30,684.481782252939,694.3026320432073,682.2497764412446,690.2849731445312,47012,0.0,0.0,2023-07-06,676.1275150459389,656.1320024818018,67.03448492447677,35.67147037355608,662.763050612787,651.3191162109375,688.092385341683,19.99551256413713,16.09623013525811,651.3191162109375,41.63778098954613,692.9568972004837,609.6813352213914,734.5946781900298,568.0435542318453,COSMOFIRST.NS,2023-08-08 21:13:00.166075
25,2023-07-05 00:00:00+05:30,684.7793224626071,693.7073450776268,682.5969048250855,683.7377319335938,34870,0.0,0.0,2023-07-05,673.5534317552857,653.3997648287834,64.96278332825337,34.43515263850883,659.8660061357613,646.8327850341797,686.9960914402589,20.153666926502297,15.121409528038354,646.8327850341797,42.050198935503595,688.8829839696832,604.7825860986761,730.9331829051869,562.7323871631725,COSMOFIRST.NS,2023-08-08 21:13:00.166075
26,2023-07-04 00:00:00+05:30,694.3522068728321,699.411395731087,683.4897666861923,684.7793579101562,51479,0.0,0.0,2023-07-04,671.7017408137752,650.9727274603986,65.57033340870049,33.126667741450255,657.353192893884,642.1802947998046,688.6252711935914,20.729013353376672,13.863345178422367,642.1802947998046,42.89124682052835,685.0715416203329,599.2890479792763,727.9627884408613,556.3978011587479,COSMOFIRST.NS,2023-08-08 21:13:00.166075
27,2023-07-03 00:00:00+05:30,699.7089955160632,713.6962682209208,686.4657852931656,690.7313842773438,83702,0.0,0.0,2023-07-03,669.3239922507969,648.268197024418,68.99845126709177,31.61641613064894,654.4662281553291,637.6890045166016,690.5482278353089,21.055795226378905,12.14692813468379,637.6890045166016,42.89876288779714,680.5877674043987,594.7902416288044,723.4865302921959,551.8914787410073,COSMOFIRST.NS,2023-08-08 21:13:00.166075
28,2023-06-30 00:00:00+05:30,689.4913700740905,706.2562376263339,688.449779491183,699.708984375,80783,0.0,0.0,2023-06-30,665.4317391550611,644.8711420441839,74.45362908514203,29.66560865142395,650.6488433003801,632.8133117675782,690.4566496142915,20.56059711087721,9.91971136176001,632.8133117675782,42.08671733872444,674.9000291063026,590.7265944288538,716.986746445027,548.6398770901293,COSMOFIRST.NS,2023-08-08 21:13:00.166075
