Trading Day,Date,Close,Dividends,High,Low,Open,Volume,Stock Splits,date_only,RollingMean,RollingStd,UpperBand1,LowerBand1,UpperBand2,LowerBand2,CCI_10,CCI_40,OBV,VPT,VPT_signal,VWAP,MFI_14,PP,R1,S1,R2,S2,R3,S3,CMF,%R,macd,macd_signal,macde_histogram,rsi,ADX,sma_5,sma_20,sma_50,sma_100,symbol,created_on
1,2023-12-13 00:00:00+05:30,1.149999976158142,0.0,1.2200000286102295,1.1399999856948853,1.1950000524520874,25399170,0.0,2023-12-13,1.1052500069141389,0.03389125980760566,1.1391412667217446,1.0713587471065331,1.1730325265293502,1.0374674872989276,116.27909956798425,87.19238506093527,118222771,83341070.90567078,34768211.24076992,1.2321172821191824,82.28231888782186,1.1699999968210857,1.2000000079472861,1.1199999650319419,1.25000003973643,1.0899999539057414,1.2800000508626304,1.0399999221165976,-0.031066399581757432,-41.17648296289648,0.007167165141530152,-0.0018613700138345529,0.009028535155364704,55.56002371581525,17.215589566625237,1.1369999885559081,1.1052500069141389,1.1341000008583069,1.117899997830391,GISOLUTION.NS,2023-12-14 10:48:01.538330
2,2023-12-12 00:00:00+05:30,1.1649999618530273,0.0,1.1950000524520874,1.1449999809265137,1.1699999570846558,11302700,0.0,2023-12-12,1.0977500081062317,0.039585840704461195,1.1373358488106928,1.0581641674017706,1.176921689515154,1.0185783266973094,120.00002966987691,78.33219253485564,143621941,37570747.18836856,22624996.324544713,1.2350210857273893,74.75842826557727,1.1683333317438762,1.1916666825612388,1.141666611035665,1.21833340326945,1.1183332602183025,1.2416667540868125,1.0916665395100913,0.11115235160218372,-20.6897033663858,0.005433991705359409,-0.004118503802675729,0.009552495508035138,57.8827221929866,15.992140232421052,1.1369999885559081,1.0977500081062317,1.135200002193451,1.117049998641014,GISOLUTION.NS,2023-12-14 10:48:01.538330
3,2023-12-11 00:00:00+05:30,1.1399999856948853,0.0,1.1549999713897705,1.1150000095367432,1.1549999713897705,7010440,0.0,2023-12-11,1.0945000112056733,0.03630643961736069,1.130806450823034,1.0581935715883126,1.1671128904403947,1.021887131970952,59.299170877230054,16.10374391038907,132319241,22802992.428065807,18888558.608588748,1.2361405563819412,69.11460982478738,1.1366666555404663,1.1583333015441895,1.118333339691162,1.1766666173934937,1.096666693687439,1.1983332633972168,1.0783333778381348,0.14950084299839436,-35.714310042693924,0.0016553999768966765,-0.006506627679684513,0.00816202765658119,54.33757123578004,15.203997056672588,1.130999994277954,1.0945000112056733,1.1358000040054321,1.1155499988794326,GISOLUTION.NS,2023-12-14 10:48:01.538330
4,2023-12-08 00:00:00+05:30,1.1150000095367432,0.0,1.1299999952316284,1.100000023841858,1.1299999952316284,4946960,0.0,2023-12-08,1.0922500133514403,0.03469699374820527,1.1269470070996457,1.057553019603235,1.1616440008478508,1.0228560258550299,14.71862624613746,-24.721287188067873,125308801,15738197.476001518,17909950.153719485,1.2371034570060269,63.633240946903655,1.1150000095367432,1.1299999952316284,1.100000023841858,1.1449999809265137,1.0850000381469727,1.159999966621399,1.0700000524520874,0.12722949737879574,-53.57142248932652,-0.0007453054171047135,-0.00854713459382981,0.007801829176725096,50.46594293186188,15.379311185723244,1.1319999933242797,1.0922500133514403,1.1366000032424928,1.1138499993085862,GISOLUTION.NS,2023-12-14 10:48:01.538330
5,2023-12-07 00:00:00+05:30,1.1150000095367432,0.0,1.190000057220459,1.0950000286102295,1.1749999523162842,7085010,0.0,2023-12-07,1.0917500138282776,0.03442287065395129,1.126172884482229,1.0573271431743263,1.1605957551361803,1.022904272520375,67.4604001319325,1.5631574201611962,130255761,22540163.352734916,18452888.323148977,1.2379725697324233,70.80544565301571,1.1333333651224773,1.171666701634725,1.0766666730244956,1.2283333937327068,1.0383333365122478,1.2666667302449546,0.9816666444142661,0.1256938989060485,-53.57142248932652,-0.001345524437529999,-0.010497591888011084,0.009152067450481085,50.46594293186188,16.35180188040176,1.1279999971389771,1.0917500138282776,1.1385000038146973,1.1127999991178512,GISOLUTION.NS,2023-12-14 10:48:01.538330
6,2023-12-06 00:00:00+05:30,1.149999976158142,0.0,1.1699999570846558,1.125,1.1449999809265137,4502250,0.0,2023-12-06,1.0910000145435332,0.034051042833828093,1.1250510573773613,1.0569489717097051,1.1591021002111894,1.022897928875877,124.47254404210805,23.473694972513364,137340771,14773015.672758447,17431069.56575249,1.239239079206227,82.71079777566126,1.1483333110809326,1.1716666221618652,1.1266666650772095,1.1933332681655884,1.1033333539962769,1.216666579246521,1.0816667079925537,0.16272970304222648,-23.076901915509954,-0.0020935999343241196,-0.012785608750631353,0.010692008816307233,56.68178641119862,17.399099551594006,1.119000005722046,1.0910000145435332,1.1409000039100647,1.1120499986410142,GISOLUTION.NS,2023-12-14 10:48:01.538330
7,2023-12-05 00:00:00+05:30,1.1349999904632568,0.0,1.1799999475479126,1.1100000143051147,1.1799999475479126,4648650,0.0,2023-12-05,1.0892500162124634,0.03167578458242073,1.1209258007948841,1.0575742316300427,1.1526015853773048,1.025898447047622,157.8365740102592,12.468725297569241,132838521,15054433.840988219,18095583.039001,1.2398269694190387,84.71145863325874,1.1416666507720947,1.1733332872390747,1.1033333539962769,1.2116665840148926,1.0716667175292969,1.2433332204818726,1.033333420753479,0.15069360517891356,-24.999983443149404,-0.006466608458322254,-0.015458610954708159,0.008992002496385905,54.96487818502686,17.438452501671826,1.103000020980835,1.0892500162124634,1.142400004863739,1.1108499985933304,GISOLUTION.NS,2023-12-14 10:48:01.538330
8,2023-12-04 00:00:00+05:30,1.1449999809265137,0.0,1.1449999809265137,1.1200000047683716,1.1349999904632568,15513130,0.0,2023-12-04,1.0880000174045563,0.030235917631908804,1.118235935036465,1.0577640997726476,1.148471852668374,1.0275281821407387,175.7456818181189,4.533416900843794,137487171,50681169.95086824,18855870.338504195,1.240544888540631,77.38524132884315,1.1366666555404663,1.153333306312561,1.128333330154419,1.1616666316986084,1.1116666793823242,1.1783332824707031,1.1033333539962769,0.16966534753717916,-6.451607941339789,-0.010490134288667408,-0.017706611578804633,0.007216477290137226,57.065086329734484,17.480832601755633,1.0920000314712524,1.0880000174045563,1.1447000050544738,1.1098499983549117,GISOLUTION.NS,2023-12-14 10:48:01.538330
9,2023-12-01 00:00:00+05:30,1.0950000286102295,0.0,1.1200000047683716,1.090000033378601,1.1150000095367432,10894800,0.0,2023-12-01,1.0862500190734863,0.027666964648887505,1.1139169837223737,1.0585830544245989,1.1415839483712613,1.0309160897757113,53.57146658458258,-48.569193858585955,121974041,34038868.3473833,10899545.435413186,1.2427796101039466,66.68099705039216,1.1016666889190674,1.1133333444595337,1.0833333730697632,1.131666660308838,1.0716667175292969,1.1433333158493042,1.0533334016799927,-0.09211342057947898,-38.70964764803874,-0.016467372718768303,-0.019510730901338938,0.003043358182570635,47.805615442700535,18.55477517871302,1.0790000438690186,1.0862500190734863,1.1468000054359435,1.1092999988794328,GISOLUTION.NS,2023-12-14 10:48:01.538330
10,2023-11-30 00:00:00+05:30,1.0700000524520874,0.0,1.0950000286102295,1.0549999475479126,1.0800000429153442,1226160,0.0,2023-11-30,1.0880000174045563,0.029307808900613748,1.1173078263051701,1.0586922085039425,1.146615635205784,1.0293843996033287,-70.90461697162111,-92.65297825776261,111079241,3743455.405065105,5114714.707420656,1.245247598777716,53.09899485056362,1.0733333428700764,1.0916667381922402,1.0516666571299234,1.1133334239323933,1.0333332618077595,1.1316668192545571,1.0116665760676065,0.03989299640203411,-54.83866750138821,-0.01894630581829726,-0.020271570446981593,0.0013252646286843334,43.26059703863604,19.3665156555313,1.0720000267028809,1.0880000174045563,1.149200005531311,1.1097999984025955,GISOLUTION.NS,2023-12-14 10:48:01.538330
