<<<<<<< Updated upstream
Trading Day,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,date_only,Close_ema_12,Close_ema_26,rsi,ADX,Close_ema_20,sma_20,Close_ema_5,macd,macd_ema_9,RollingMean,RollingStd,UpperBand1,LowerBand1,UpperBand2,LowerBand2,symbol,created_on
1,2023-08-21 00:00:00+05:30,4405.0498046875,4487.14990234375,4392.89990234375,4462.0498046875,4219,0.0,0.0,2023-08-21,4448.295170269663,4464.369738677622,49.71556312584676,9.876589074728114,4455.370481670169,4432.1849609375,4449.056022065174,-16.074568407959305,-23.882254450763114,4432.1849609375,60.10164809594472,4492.2866090334455,4372.083312841555,4552.38825712939,4311.981664745611,NAVINFLUOR.BO,2023-08-21 12:30:33.987941
2,2023-08-18 00:00:00+05:30,4441.0,4441.0498046875,4371.0,4412.5498046875,3855,0.0,0.0,2023-08-18,4445.794327648237,4464.555333396832,46.050449148783414,10.286428979217852,4454.667395036766,4432.137475585938,4442.559130754011,-18.76100574859447,-25.834175961464062,4432.137475585938,60.07718067321777,4492.214656259156,4372.06029491272,4552.291836932373,4311.983114239502,NAVINFLUOR.BO,2023-08-21 12:30:33.987941
3,2023-08-17 00:00:00+05:30,4488.4501953125,4489.5,4417.7998046875,4435.2998046875,1877,0.0,0.0,2023-08-17,4451.838786368372,4468.7157756935785,47.528886944035285,10.933640336140845,4459.100825599846,4438.264990234375,4457.563793787265,-16.876989325206523,-27.60246851468146,4438.264990234375,64.089896195331,4502.354886429705,4374.175094039044,4566.444782625036,4310.085197843713,NAVINFLUOR.BO,2023-08-21 12:30:33.987941
4,2023-08-16 00:00:00+05:30,4460.0498046875,4526.10009765625,4439.7998046875,4488.7001953125,1575,0.0,0.0,2023-08-16,4454.845873946712,4471.389053374065,51.104969110154784,11.407646522592977,4461.606196222198,4441.605004882813,4468.695788337147,-16.543179427352698,-30.28383831205019,4441.605004882813,65.6489049691962,4507.253909852009,4375.9560999136165,4572.9028148212055,4310.30719494442,NAVINFLUOR.BO,2023-08-21 12:30:33.987941
5,2023-08-14 00:00:00+05:30,4474.0,4487.0498046875,4406.60009765625,4481.7998046875,3328,0.0,0.0,2023-08-14,4448.690542789296,4470.00416201899,50.659542490898794,11.672655638239066,4458.754196317956,4441.5050048828125,4458.69358484947,-21.313619229694268,-33.71900303322456,4441.5050048828125,65.57487283039129,4507.079877713204,4375.930132052421,4572.654750543595,4310.35525922203,NAVINFLUOR.BO,2023-08-21 12:30:33.987941
6,2023-08-11 00:00:00+05:30,4407.89990234375,4493.4501953125,4406.0,4472.4501953125,3032,0.0,0.0,2023-08-11,4442.670676989623,4469.06051060551,50.08740630315645,12.332233663449747,4456.328342805372,4438.612524414062,4447.140474930455,-26.389833615887255,-36.820348984107135,4438.612524414062,64.97707554054269,4503.589599954605,4373.63544887352,4568.566675495147,4308.658373332977,NAVINFLUOR.BO,2023-08-21 12:30:33.987941
7,2023-08-10 00:00:00+05:30,4423.0498046875,4473.5,4393.85009765625,4404.9501953125,7520,0.0,0.0,2023-08-10,4437.256219112735,4468.78933582895,45.88055608250591,13.04254845983048,4454.631305699359,4437.8275146484375,4434.485614739431,-31.533116716214863,-39.4279778261621,4437.8275146484375,64.64072441799632,4502.468239066434,4373.186790230441,4567.10896348443,4308.546065812445,NAVINFLUOR.BO,2023-08-21 12:30:33.987941
8,2023-08-09 00:00:00+05:30,4466.0498046875,4499.14990234375,4445.0,4462.75,2055,0.0,0.0,2023-08-09,4443.130041621869,4473.896467070266,49.1762079575619,13.985181971376765,4459.860896266397,4439.969995117188,4449.253324452896,-30.766425448397058,-41.4016931036489,4439.969995117188,64.20229779586495,4504.172292913053,4375.767697321323,4568.374590708918,4311.565399525458,NAVINFLUOR.BO,2023-08-21 12:30:33.987941
9,2023-08-08 00:00:00+05:30,4401.0498046875,4500.0,4401.0498046875,4476.85009765625,4657,0.0,0.0,2023-08-08,4439.5627764622095,4474.788184435888,49.989598077973135,14.533880911620388,4459.556780083912,4444.7375,4442.504986679343,-35.22540797367856,-44.06051001746186,4444.7375,69.31923719110779,4514.056737191108,4375.418262808892,4583.375974382216,4306.099025617785,NAVINFLUOR.BO,2023-08-21 12:30:33.987941
10,2023-08-07 00:00:00+05:30,4431.0,4459.0,4345.14990234375,4400.39990234375,13123,0.0,0.0,2023-08-07,4432.783263517838,4474.623231378259,45.44663628762881,15.124787462651982,4457.736430865771,4454.372485351562,4425.33243119089,-41.839967860420984,-46.26928552840768,4454.372485351562,85.51720996586116,4539.8896953174235,4368.855275385701,4625.406905283285,4283.33806541984,NAVINFLUOR.BO,2023-08-21 12:30:33.987941
11,2023-08-04 00:00:00+05:30,4503.0,4549.4501953125,4469.35009765625,4507.89990234375,3736,0.0,0.0,2023-08-04,4438.671147367672,4480.56109770102,51.562519130168546,16.07201766030517,4463.77185492072,4465.309985351562,4437.79869561446,-41.88995033334777,-47.376614945404356,4465.309985351562,91.99446496954896,4557.304450321111,4373.315520382013,4649.29891529066,4281.321055412464,NAVINFLUOR.BO,2023-08-21 12:30:33.987941
12,2023-08-03 00:00:00+05:30,4575.9501953125,4673.25,4468.75,4504.7001953125,7858,0.0,0.0,2023-08-03,4426.084101008386,4478.373993329601,51.38167089603229,15.992796052420521,4459.126797297244,4471.975,4402.748092249813,-52.28989232121512,-48.748281098418495,4471.975,99.7448499240515,4571.719849924052,4372.230150075949,4671.464699848103,4272.485300151898,NAVINFLUOR.BO,2023-08-21 12:30:33.987941
13,2023-07-28 00:00:00+05:30,4298.9501953125,4298.9501953125,4203.0,4275.7998046875,6742,0.0,0.0,2023-07-28,4411.790265680364,4476.267897170969,35.348350806777006,15.907480474698593,4454.329597506165,4479.575,4351.77204071847,-64.47763149060484,-47.86287829271933,4479.575,107.8324543510508,4587.407454351051,4371.742545648949,4695.239908702101,4263.910091297898,NAVINFLUOR.BO,2023-08-21 12:30:33.987941
14,2023-07-26 00:00:00+05:30,4311.0498046875,4326.10009765625,4256.60009765625,4311.14990234375,9739,0.0,0.0,2023-07-26,4436.515804042703,4492.305344569647,37.10300466997653,14.840914901307803,4473.12220727655,4497.430004882813,4389.758158733954,-55.78954052694371,-43.709189993247946,4497.430004882813,101.70574104864349,4599.135745931456,4395.7242638341695,4700.8414869801,4294.018522785525,NAVINFLUOR.BO,2023-08-21 12:30:33.987941
15,2023-07-24 00:00:00+05:30,4390.0498046875,4426.10009765625,4349.5,4423.7998046875,14210,0.0,0.0,2023-07-24,4459.309604351603,4506.797779947719,43.49124481008982,14.131507927970095,4490.171923585266,4513.2625,4429.062286929055,-47.48817559611598,-40.689102359824005,4513.2625,95.64730924469386,4608.909809244694,4417.615190755306,4704.557118489388,4321.967881510612,NAVINFLUOR.BO,2023-08-21 12:30:33.987941
16,2023-07-21 00:00:00+05:30,4460.0498046875,4470.0,4367.14990234375,4387.75,4366,0.0,0.0,2023-07-21,4465.765931563259,4513.437617968537,40.44414998608788,14.246919849271402,4497.15846241661,4520.760009765625,4431.693528049831,-47.671686405277796,-38.98933405075101,4520.760009765625,94.13055276113224,4614.890562526757,4426.629457004493,4709.021115287889,4332.498904243361,NAVINFLUOR.BO,2023-08-21 12:30:33.987941
17,2023-07-20 00:00:00+05:30,4420.0,4491.0,4382.7998046875,4478.10009765625,1925,0.0,0.0,2023-07-20,4479.950646392942,4523.49262740602,46.24777397688623,14.55457527199602,4508.67514267099,4521.790014648437,4453.6652920747465,-43.54198101307793,-36.81874596211931,4521.790014648437,92.70035648049969,4614.490371128937,4429.089658167937,4707.190727609436,4336.389301687438,NAVINFLUOR.BO,2023-08-21 12:30:33.987941
18,2023-07-19 00:00:00+05:30,4385.0498046875,4430.25,4322.5498046875,4416.5,2853,0.0,0.0,2023-07-19,4480.287109799613,4527.124029786002,40.876578123608326,15.044553913782922,4511.8935684620155,4520.822509765625,4441.447889283994,-46.83691998638915,-35.13793719937965,4520.822509765625,93.2795117761521,4614.1020215417775,4427.5429979894725,4707.381533317929,4334.263486213321,NAVINFLUOR.BO,2023-08-21 12:30:33.987941
19,2023-07-17 00:00:00+05:30,4402.85009765625,4468.89990234375,4382.0,4437.39990234375,2316,0.0,0.0,2023-07-17,4491.8847661268155,4535.9739521688825,42.20526313934512,14.82063210107961,4521.934996721176,4529.085009765625,4453.9218339259905,-44.08918604206701,-32.213191502627275,4529.085009765625,90.83932429359088,4619.924334059216,4438.245685472034,4710.7636583528065,4347.406361178443,NAVINFLUOR.BO,2023-08-21 12:30:33.987941
20,2023-07-14 00:00:00+05:30,4332.0,4410.0,4332.0,4402.7998046875,4856,0.0,0.0,2023-07-14,4501.791104996464,4543.859876154893,39.16547913293806,15.143742450163712,4530.833427708273,4542.42001953125,4462.18279971711,-42.06877115842872,-29.24419286776734,4542.42001953125,96.09522313600675,4638.515242667257,4446.324796395243,4734.610465803263,4350.2295732592365,NAVINFLUOR.BO,2023-08-21 12:30:33.987941
21,2023-07-10 00:00:00+05:30,4535.10009765625,4535.10009765625,4433.39990234375,4461.10009765625,3724,0.0,0.0,2023-07-10,4519.789523234458,4555.144681872284,42.677536048608275,14.729074948555507,4544.310651184143,4553.6500244140625,4491.874297231915,-35.35515863782621,-26.03804829510199,4553.6500244140625,91.95452599778469,4645.604550411847,4461.695498416278,4737.559076409632,4369.740972418493,NAVINFLUOR.BO,2023-08-21 12:30:33.987941
