Trading Day,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,date_only,Close_ema_12,Close_ema_26,macd,macd_ema_9,symbol,created_on
31,2023-06-14 00:00:00+05:30,91.5,92.8499984741211,89.8499984741211,92.05000305175781,115394,0.0,0.0,2023-06-14,90.95840848464371,89.71867206519156,1.2397364194521572,1.276397326203616,WEBELSOLAR.NS,2023-07-31 18:20:43.115501
32,2023-06-13 00:00:00+05:30,94.0,94.0,90.19999694824219,90.6500015258789,134289,0.0,0.0,2023-06-13,90.75993674516842,89.53216558626626,1.2277711589021578,1.2855625528914805,WEBELSOLAR.NS,2023-07-31 18:20:43.115501
33,2023-06-12 00:00:00+05:30,92.9000015258789,94.19999694824219,92.0,93.30000305175781,192847,0.0,0.0,2023-06-12,90.77992496685742,89.44273871109725,1.337186255760173,1.3000104013888112,WEBELSOLAR.NS,2023-07-31 18:20:43.115501
34,2023-06-09 00:00:00+05:30,90.5,91.80000305175781,88.19999694824219,90.25,59095,0.0,0.0,2023-06-09,90.321728951421,89.13415756384441,1.1875713875765825,1.2907164377959706,WEBELSOLAR.NS,2023-07-31 18:20:43.115501
35,2023-06-08 00:00:00+05:30,92.9000015258789,93.19999694824219,90.0,90.94999694824219,56925,0.0,0.0,2023-06-08,90.33477057895207,89.04489016895195,1.2898804100001229,1.3165027003508176,WEBELSOLAR.NS,2023-07-31 18:20:43.115501
36,2023-06-07 00:00:00+05:30,92.05000305175781,93.5999984741211,91.75,91.9000015258789,70152,0.0,0.0,2023-06-07,90.22291123908116,88.89248162660874,1.3304296124724146,1.3231582729384914,WEBELSOLAR.NS,2023-07-31 18:20:43.115501
37,2023-06-06 00:00:00+05:30,92.0,94.05000305175781,91.0999984741211,92.3499984741211,122823,0.0,0.0,2023-06-06,89.91798573239065,88.65188003466713,1.2661056977235177,1.3213404380550107,WEBELSOLAR.NS,2023-07-31 18:20:43.115501
38,2023-06-05 00:00:00+05:30,89.30000305175781,93.0,89.30000305175781,91.0999984741211,157365,0.0,0.0,2023-06-05,89.47580159753056,88.35603055951081,1.1197710380197492,1.3351491231378838,WEBELSOLAR.NS,2023-07-31 18:20:43.115501
39,2023-06-02 00:00:00+05:30,90.0,92.5,88.6500015258789,88.8499984741211,95131,0.0,0.0,2023-06-02,89.1804930745141,88.136513126342,1.0439799481721082,1.3889936444174176,WEBELSOLAR.NS,2023-07-31 18:20:43.115501
40,2023-06-01 00:00:00+05:30,90.0999984741211,90.6500015258789,88.80000305175781,89.9000015258789,80019,0.0,0.0,2023-06-01,89.2405830018583,88.07943429851967,1.1611487033386254,1.4752470684787449,WEBELSOLAR.NS,2023-07-31 18:20:43.115501
41,2023-05-31 00:00:00+05:30,88.0,91.1500015258789,86.55000305175781,90.05000305175781,91600,0.0,0.0,2023-05-31,89.12068872476364,87.93378892033094,1.1868998044326986,1.5537716597637745,WEBELSOLAR.NS,2023-07-31 18:20:43.115501
42,2023-05-30 00:00:00+05:30,91.4000015258789,93.0999984741211,89.0,90.0999984741211,160433,0.0,0.0,2023-05-30,88.95172248349198,87.76449178981679,1.1872306936751897,1.6454896235965435,WEBELSOLAR.NS,2023-07-31 18:20:43.115501
43,2023-05-29 00:00:00+05:30,88.05000305175781,91.25,88.05000305175781,90.05000305175781,86178,0.0,0.0,2023-05-29,88.74294503065033,87.57765125507244,1.1652937755778936,1.7600543560768818,WEBELSOLAR.NS,2023-07-31 18:20:43.115501
44,2023-05-26 00:00:00+05:30,88.4000015258789,91.0,86.0999984741211,88.5999984741211,162303,0.0,0.0,2023-05-26,88.50529811772171,87.3798631113376,1.1254350063841088,1.9087445012016286,WEBELSOLAR.NS,2023-07-31 18:20:43.115501
45,2023-05-25 00:00:00+05:30,84.25,88.55000305175781,84.25,86.69999694824219,46468,0.0,0.0,2023-05-25,88.48807987110364,87.28225228231493,1.2058275887887078,2.1045718749060085,WEBELSOLAR.NS,2023-07-31 18:20:43.115501
