IDENTIFIER,NAME OF COMPANY,EXCHANGE,SYMBOL
20MICRONS,20 Microns Limited,NSE,20MICRONS.NS
21STCENMGM,21st Century Management Services Limited,NSE,21STCENMGM.NS
360ONE,360 ONE WAM LIMITED,NSE,360ONE.NS
3IINFOLTD,3i Infotech Limited,NSE,3IINFOLTD.NS
3MINDIA,3M India Limited,NSE,3MINDIA.NS
3PLAND,3P Land Holdings Limited,NSE,3PLAND.NS
5PAISA,5Paisa Capital Limited,NSE,5PAISA.NS
63MOONS,63 moons technologies limited,NSE,63MOONS.NS
A2ZINFRA,A2Z Infra Engineering Limited,NSE,A2ZINFRA.NS
AAATECH,AAA Technologies Limited,NSE,AAATECH.NS
AAKASH,Aakash Exploration Services Limited,NSE,AAKASH.NS
AAREYDRUGS,Aarey Drugs & Pharmaceuticals Limited,NSE,AAREYDRUGS.NS
AARON,Aaron Industries Limited,NSE,AARON.NS
AARTECH,Aartech Solonics Limited,NSE,AARTECH.NS
AARTIDRUGS,Aarti Drugs Limited,NSE,AARTIDRUGS.NS
AARTIIND,Aarti Industries Limited,NSE,AARTIIND.NS
AARTIPHARM,Aarti Pharmalabs Limited,NSE,AARTIPHARM.NS
AARTISURF,Aarti Surfactants Limited,NSE,AARTISURF.NS
AARVEEDEN,Aarvee Denims & Exports Limited,NSE,AARVEEDEN.NS
AARVI,Aarvi Encon Limited,NSE,AARVI.NS
AAVAS,Aavas Financiers Limited,NSE,AAVAS.NS
ABAN,Aban Offshore Limited,NSE,ABAN.NS
ABB,ABB India Limited,NSE,ABB.NS
ABBOTINDIA,Abbott India Limited,NSE,ABBOTINDIA.NS
ABCAPITAL,Aditya Birla Capital Limited,NSE,ABCAPITAL.NS
ABFRL,Aditya Birla Fashion and Retail Limited,NSE,ABFRL.NS
ABMINTLLTD,ABM International Limited,NSE,ABMINTLLTD.NS
ABSLAMC,Aditya Birla Sun Life AMC Limited,NSE,ABSLAMC.NS
ACC,ACC Limited,NSE,ACC.NS
ACCELYA,Accelya Solutions India Limited,NSE,ACCELYA.NS
ACCURACY,Accuracy Shipping Limited,NSE,ACCURACY.NS
ACE,Action Construction Equipment Limited,NSE,ACE.NS
ACEINTEG,Ace Integrated Solutions Limited,NSE,ACEINTEG.NS
ACI,Archean Chemical Industries Limited,NSE,ACI.NS
ACL,Andhra Cements Limited,NSE,ACL.NS
ADANIENT,Adani Enterprises Limited,NSE,ADANIENT.NS
ADANIGREEN,Adani Green Energy Limited,NSE,ADANIGREEN.NS
ADANIPORTS,Adani Ports and Special Economic Zone Limited,NSE,ADANIPORTS.NS
ADANIPOWER,Adani Power Limited,NSE,ADANIPOWER.NS
ADANITRANS,Adani Transmission Limited,NSE,ADANITRANS.NS
ADFFOODS,ADF Foods Limited,NSE,ADFFOODS.NS
ADL,Archidply Decor Limited,NSE,ADL.NS
ADORWELD,Ador Welding Limited,NSE,ADORWELD.NS
ADROITINFO,Adroit Infotech Limited,NSE,ADROITINFO.NS
ADSL,Allied Digital Services Limited,NSE,ADSL.NS
ADVANIHOTR,Advani Hotels & Resorts (India) Limited,NSE,ADVANIHOTR.NS
ADVENZYMES,Advanced Enzyme Technologies Limited,NSE,ADVENZYMES.NS
AEGISCHEM,Aegis Logistics Limited,NSE,AEGISCHEM.NS
AETHER,Aether Industries Limited,NSE,AETHER.NS
AFFLE,Affle (India) Limited,NSE,AFFLE.NS
AGARIND,Agarwal Industrial Corporation Limited,NSE,AGARIND.NS
AGI,AGI Greenpac Limited,NSE,AGI.NS
AGRITECH,Agri-Tech (India) Limited,NSE,AGRITECH.NS
AGROPHOS,Agro Phos India Limited,NSE,AGROPHOS.NS
AGSTRA,AGS Transact Technologies Limited,NSE,AGSTRA.NS
AHL,Abans Holdings Limited,NSE,AHL.NS
AHLADA,Ahlada Engineers Limited,NSE,AHLADA.NS
AHLEAST,Asian Hotels (East) Limited,NSE,AHLEAST.NS
AHLUCONT,Ahluwalia Contracts (India) Limited,NSE,AHLUCONT.NS
AIAENG,AIA Engineering Limited,NSE,AIAENG.NS
AIRAN,Airan Limited,NSE,AIRAN.NS
AIROLAM,Airo Lam limited,NSE,AIROLAM.NS
AJANTPHARM,Ajanta Pharma Limited,NSE,AJANTPHARM.NS
AJMERA,Ajmera Realty & Infra India Limited,NSE,AJMERA.NS
AJOONI,Ajooni Biotech Limited,NSE,AJOONI.NS
AJRINFRA,AJR INFRA AND TOLLING LIMITED,NSE,AJRINFRA.NS
AKASH,Akash Infra-Projects Limited,NSE,AKASH.NS
AKG,Akg Exim Limited,NSE,AKG.NS
AKI,AKI India Limited,NSE,AKI.NS
AKSHAR,Akshar Spintex Limited,NSE,AKSHAR.NS
AKSHARCHEM,AksharChem India Limited,NSE,AKSHARCHEM.NS
AKSHOPTFBR,Aksh Optifibre Limited,NSE,AKSHOPTFBR.NS
AKZOINDIA,Akzo Nobel India Limited,NSE,AKZOINDIA.NS
ALANKIT,Alankit Limited,NSE,ALANKIT.NS
ALBERTDAVD,Albert David Limited,NSE,ALBERTDAVD.NS
ALEMBICLTD,Alembic Limited,NSE,ALEMBICLTD.NS
ALICON,Alicon Castalloy Limited,NSE,ALICON.NS
ALKALI,Alkali Metals Limited,NSE,ALKALI.NS
